xx,xx,xx,xx,xx,xx,xx,xx,,,,,,,,,,,,,,,,,
Secretary,Cardinal Parolin,Archbishop Mamberti,Msgr. Camilleri,Archbishop Becciu,Msgr. Wells,Archbishop Suriani,Msgr. Bettencourt,,,,,,,,,,,,,,,,,
Congregation,Cardinal Muller,Archbishop Ferrer,Archbishop Di Noia,Msgr. Caotorta ,Fr. Geisinger,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Sandri,Archbishop Vasil,,,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Llovera ,Archbishop Roche,Msgr. Grenesche,,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Amato,Archbishop Bartolucci,Fr. Turek,Msgr. Pellegrino,Fr. Kijas,Msgr. Iovine,Msgr. Pallath,Fr. Tagliaferri,,,,,,,,,,,,,,,,
Congregation,Cardinal Ouellet,Archbishop Montanari,Msgr. Breitbach,,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Filoni,Archbishop Tai-Fai,Archbishop Rugambwa,Fr. Wojda,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Stella ,Archbishop Iruzubieta,Archbishop Wong,Msgr. Neri,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Braz de Aviz,Archbishop Carballo,Sr. Spezzati,,,,,,,,,,,,,,,,,,,,,
Congregation,Cardinal Grocholewski,Archbishop Zani,Fr. Bechina,,,,,,,,,,,,,,,,,,,,,
Tribunal ,Cardinal Piacenza,Msgr. Nykiel,Fr. Dacok,Bishop Chinchetru,Fr. Faggioni,Fr. Carlotti,,,,,,,,,,,,,,,,,,
Tribunal ,Cardinal Burke,Archbishop Daneels,Bishop Sciacca,Msgr. Punderson,Msgr. Malecha,,,,,,,,,,,,,,,,,,,
Tribunal ,Msgr. Pinto,Msgr. DeFilippi,Msgr. Sable,Msgr. Monier,Msgr. Caberletti,Msgr. Battone ,Msgr. Erlebach,Msgr. Pena,Msgr. McKay,Msgr. Yaacoub,Msgr. Cedillo,Msgr. Arokiaraj,Msgr. Vaccarotto,Fr. Jaeger,Msgr. Esteban,Msgr. Todisco,Msgr. Salvatori,Msgr. Amenta,Msgr. Bunge,Fr. Gomes ,Msgr. Perego,Msgr. Milite,Msgr. Fiorentino,Msgr. Viscome 
