Afghanistan,8
Albania,33
Algeria,34
Andorra,40
Angola,22
Antigua & Barbuda,40
Argentina,35
Armenia,34
Australia,85
Austria,69
Azerbaijan,27
Bahamas,71
Bahrain,51
Bangladesh,26
Barbados,76
Belarus,31
Belgium,75
Belize,40
Benin,36
Bhutan,63
Bolivia,34
Bosnia & Herzegovina,42
Botswana,65
Brazil,43
Brunei Darussalem,55
Bulgaria,41
Burkina Faso,38
Burma,40
Burundi,19
Cambodia,22
Cameroon,26
Canada,84
Cape Verde,6
Central African Republic,26
Chad,19
Chile,72
China,39
Columbia,36
Comoros,28
Congo,26
Congo- Democratic Republic of,21
Costa Rica,54
Cote d'Ivoire,29
Croatia,46
Cuba,48
Cyprus,66
Czech Republic,49
Denmark,9
Djibouti,36
Dominica,58
Dominican Republic,32
Ecuador,32
Egypt,32
El Salvador,38
Equatorial Guinea,2
Eritrea,25
Estonia,64
Ethiopia,33
Fiji,40
Finland,9
France,71
Gabon,35
Gambia,34
Georgia,52
Germany,79
Ghana,45
Grenada,40
Greece,36
Guatamala,33
Guinea,24
Guinea-Bissau,25
Guyana,28
Haiti,19
Holy See (Vatican City),40
Honduras,28
Hungary,55
Iceland,82
India,36
Indonesia,32
Iran,28
Iraq,18
Ireland,69
Israel,6
Italy,42
Jamaica,38
Japan,74
Jordan,48
Kazakhstan,28
Kenya,27
Kiribati,40
Korea- North,8
Korea- South,56
Kosovo,34
Kuwait,44
Kyrgyzstan,24
Laos,21
Latvia,49
Lebanon,3
Lesotho,45
Liberia,41
Libya,21
Liechtenstein,40
Lithuania,54
Luxembourg,8
Macedonia,43
Madagascar,32
Malawi,37
Malaysia,49
Maldives,40
Mali,34
Malta,57
Marshall Islands,40
Mauritania,31
Mauritius,57
Mexico,34
Micronesia,40
Moldova,36
Monaco,40
Mongolia,36
Montenegro,41
Morocco,37
Mozambique,31
Namibia,48
Nauru,40
Nepal,27
Netherlands,84
New Zealand,9
Nicaragua,29
Niger,33
Nigeria,27
Norway,85
Oman,47
Pakistan,27
Palau,40
Panama,38
Papua New Guinea,25
Paraguay,25
Peru,38
Phillipines,34
Poland,58
Portugal,63
Qatar,68
Romania,44
Russia,28
Rwanda,53
St. Kitts & Nevis,40
St. Lucia,71
St. Vincent & The Grenadines,62
Samao,40
San Marino,40
Sao Tome & Principe,42
Saudi Arabia,44
Senegal,36
Serbia,39
Seychelles,52
Sierra Leone,31
Singapore,87
Slovakia,46
Slovenia,61
Solomon Islands,40
Somalia,8
South Africa,43
South Sudan,40
Spain,65
Sri Lanka,4
Sudan,13
Suriname,37
Swaziland,37
Sweden,88
Switzerland,86
Syria,26
Taiwan,61
Tajikistan,22
Tanzania,35
Thailand,37
Timor-Leste,33
Togo,3
Tonga,40
Trinidad & Tobago,39
Tunisia,41
Turkey,49
Turkmenistan,17
Tuvalu,40
Uganda,29
Ukraine,26
United Arab Emirates,68
United Kingdom,74
United States,73
Uruguay,72
Uzbekistan,17
Vanuatu,40
Venezuela,19
Vietnam,31
Yemen,23
Zambia,37
Zimbabwe,2
