0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,0,0,7252781,5517501,3418184,0,7232592,4945863,0,3849296,6282244,0,0,0,0,0,0,2149764,0,4424471,0,0,0,0,0,6380758,0,0,0,795622,0,1622201,0,0,0,0,0,0,0,0,5027451,5503252,0,0,0,1667256,3009343,0,0,0,0,0,0,7204884,5543805,0,0,938065,9791176,0,2120256,0,0,0,0,0,0,0,0,5086182,0,0,0,1.21E+07,5214288,2650007,5945005,8181496,0,0,0,7919736,0,0,0,1882884,0,5402072,1576415,0,1428787,0,0,0,2451415,0,1193036,0,0,0,0,7520077,0,0,0,0,0,0,0,0,2945279,0,0,0,0,0,0,0,0,6772006,5325321,0,0,0,7728494,0,0,0,0,0,0,0,4830949,4150538,556470,8460601,0,1.07E+07,0,0,0,0,3230567,0,0,0,0,0,2330057,550728,0,0,1050411,0,0,0,0,0,0,0,0,0,8914019,5946683,6413724,0,4.89E+07,0,1746175,0,0,0,0,0,1.10E+07,1378698,0,0,6415547,1.35E+07,1.17E+07,1.32E+07,0,3003667,0,765661,0,0,0,0
Albania,0,0,0,0,0,0,2547605,0,3847772,3852672,0,0,0,3502487,0,0,5269392,0,0,0,0,4840411,0,0,0,4355417,0,0,0,0,0,5698454,0,0,0,1079263,0,777146,0,0,0,0,0,4616250,427399,5233305,4578044,4156893,0,0,586178,2269619,0,0,0,0,0,0,0,3832262,5321625,0,0,0,8866995,0,4622128,0,0,0,0,0,0,0,0,3559947,1227108,0,0,0,0,3208702,1011364,6836839,0,0,1188241,0,0,0,0,0,0,0,0,0,0,0,0,0,4785892,0,682987,3982071,7054884,0,0,0,0,0,2002185,0,0,0,0,0,0,0,0,1.19E+07,0,0,0,0,0,4594345,1751677,0,0,0,3788084,0,0,0,824388,0,0,0,3407300,3134442,1847738,0,3849142,5132919,0,0,0,0,0,0,2728742,0,0,0,2853463,2536692,0,0,3191167,0,3744861,0,0,0,0,0,0,0,5357058,4439372,0,0,0,0,0,0,0,0,0,0,7560407,0,0,0,0,0,9127654,8684474,0,0,0,641210,1926834,0,0,0
Algeria,0,0,0,0,0,0,2380206,0,3673437,3945123,0,0,4047469,2575296,0,1256116,4595979,0,530550,0,243548,551403,0,4155707,0,2120190,1779784,0,0,1453242,778447,5949411,0,1311418,1587267,1782633,3330334,654644,0,1096382,1992858,731517,0,1346184,0,4333295,3966402,2713468,695185,0,950194,1353761,0,0,515110,0,0,415635,0,4742449,1.02E+07,1226432,889702,0,9213392,314994,2626814,0,0,2144183,0,0,434707,0,225020,2732703,697561,0,0,0,5038590,2194583,1.02E+07,8613396,183802,2350536,1.64E+07,0,4052151,0,0,1705904,0,6509585,0,0,431071,6586017,0,1276687,6616623,0,321516,2584948,0,864069,0,0,0,4029444,773856,491147,2669273,0,5295380,0,0,0,0,0,2719469,0,0,0,0,5720134,2051946,0,3720709,2958252,4040189,0,1602299,0,1478791,0,317000,0,1320819,4159988,2369650,3946682,1120463,7675249,333737,0,0,0,0,5337386,492515,0,599921,2542281,2540228,968733,0,0,2874155,2319791,3057914,0,0,0,0,7157534,534702,0,5778260,5567070,0,0,0,0,7342750,0,713006,0,807931,974799,5696617,0,0,2508725,1926306,1.44E+07,1.54E+07,1.23E+07,0,0,0,1927587,505857,3125630,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,3082493,1975370,0,0,0,6573437,0,0,6324843,0,0,0,0,0,2484749,1.42E+07,0,0,0,0,0,0,0,8734855,3177466,583278,0,1981310,0,876776,0,3363012,0,0,0,0,547549,873984,1366813,1129624,0,0,204100,0,0,0,694605,1350368,0,0,0,1890696,1.39E+07,2501321,0,0,4092668,0,0,0,0,889497,0,0,0,0,0,1146780,423939,0,0,0,0,2542817,0,6310547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091449,0,0,1639046,0,0,393633,0,607279,0,0,1092630,0,0,0,0,0,0,0,5281044,0,0,9114673,2608598,0,0,3811878,2443863,0,0,0,0,0,0,0,6524924,0,3.53E+07,0,0,2336703,2685818,0,0,1386864,0,0,0,0,0,0,631073,0,0,0,6216281,0,1932965,0,0,0,0,0,0,964173,2809896,4854546,0,0,0,4245190,0,0,0,0,0,0,0,0,0,0,0,0,2.62E+07,1.73E+07,0,0,0,2588958,2637378,0,4.24E+07,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1600830,1259790,1957813,0,4326212,0,0,0,5268691,3718670,1544692,2270659,3285098,8099583,0,1885935,6146781,0,0,0,7801443,2892105,1062639,1.03E+07,0,2869555,0,0,0,805792,382058,4463252,1218096,1989094,0,7618838,1.10E+07,3846532,0,1573803,930426,3544310,0,2939871,1118564,5807413,5556832,3306839,0,0,3370533,4813168,3408104,1902577,1971384,0,878042,0,0,5918125,9387609,1109461,0,0,1.28E+07,1272235,4309813,0,3732327,4157028,474204,329528,2325227,0,819791,3890430,2132925,0,4329952,4390875,3050776,4011044,1.10E+07,1.27E+07,366609,6689796,4481643,5778431,0,0,515340,4658708,0,0,0,0,1410087,6825687,0,2465255,3099392,0,2793593,5912115,1375269,1103603,0,0,0,0,1166342,868287,2292608,1487374,4961640,0,432926,0,0,1160242,0,0,0,0,0,7135589,3649186,580794,0,0,5663430,0,0,0,3628278,0,1.02E+07,1.25E+07,4795927,6265742,3483163,2811529,4296437,8126713,0,0,0,0,230707,551442,2385430,0,0,2031179,3489843,3349769,0,0,5760680,986106,2830617,0,0,0,0,1105068,1843097,0,6539449,5946723,4266555,0,0,2874168,8891397,720144,0,0,991543,917349,7264185,1087334,0,1961082,5395148,9917038,1.25E+07,2.34E+07,1.40E+07,900586,0,5183215,2478740,914565,0,0
Armenia,0,431280,872495,0,0,0,3716002,0,1628286,1804065,4415578,0,0,572228,0,3345876,2925901,0,0,0,426209,0,0,1585938,0,3492415,0,0,0,450239,0,1736335,305920,547272,0,983568,3374652,1083000,0,1187744,0,530862,0,0,0,7023954,2758936,1547130,0,0,337030,1467339,693909,0,0,0,1438015,0,0,3247239,2115283,800968,0,6632057,3629011,0,1875420,0,0,1396170,0,0,0,0,0,1904754,1024076,0,0,3550032,5834315,1344845,5641798,2450428,0,3431316,3147406,5575121,0,0,0,3408842,0,0,2886291,0,1644470,4393635,0,0,2470465,0,2475368,1115652,1179700,0,0,0,0,0,923944,0,0,0,1604526,0,2904867,0,898080,0,0,0,0,0,0,1682173,1529796,0,0,0,2236677,0,0,0,936972,0,0,0,1796522,3170744,1442320,0,2286410,5037481,0,0,0,0,0,0,1024580,0,0,0,2077880,1121760,0,0,1309451,0,1663190,0,0,0,0,0,0,0,2771675,1867214,4547310,0,2063737,0,0,0,0,0,0,0,4827465,2956856,0,1592261,6842782,4360177,2528379,2686817,0,2652217,0,1307649,0,1004920,0,0
Australia,0,3619361,5012257,0,5378535,0,3300433,0,0,7469388,2948058,1781139,0,1.24E+07,809142,2299342,1.14E+07,0,601533,738385,2847235,4393089,2066540,9129151,5725988,4052397,763926,0,0,4814483,0,1.74E+07,316731,2408023,492118,1.55E+07,7.59E+07,3455376,0,4160504,8681041,1023523,0,4595929,0,1.04E+07,1.09E+07,6391792,0,0,882345,7735437,6193372,0,1085902,0,804210,0,2079049,8291833,2.72E+07,4277085,0,0,3.68E+07,2383262,1.50E+07,0,1244945,6517357,0,0,615877,0,0,7733660,2517929,0,1.78E+08,9749289,4615901,6727013,1.08E+07,2.25E+07,0,5.80E+07,1.32E+07,1.35E+07,3059751,0,1372024,2.83E+07,0,0,0,927313,1576320,2.49E+07,0,1812812,2736480,0,2302440,5257662,3054580,745434,2577690,2.13E+07,0,597237,1886928,605187,264285,2651004,9031043,0,1279353,0,4045128,2072767,0,660043,3282198,0,0,1.40E+07,8696516,0,0,2.37E+07,9660895,0,0,0,3147606,0,681273,6289891,2.62E+07,9986466,8346385,0,7194308,1.71E+07,4569881,1216578,0,0,0,617161,5759610,0,0,9809859,6616333,4799553,0,0,1.33E+07,8490169,6280228,0,0,4347393,0,2943456,2841985,1173118,1.70E+07,1.37E+07,3087338,0,0,2493131,1.09E+08,7382021,266556,0,0,455477,2.81E+07,2051111,0,2762749,6785380,0,4.40E+07,6.08E+07,0,2172558,5818159,7681006,4188481,1853527,3023562,0
Austria,7515701,1554747,584798,0,3514274,0,0,0,8687975,0,935415,0,0,1.86E+07,0,0,7599071,0,900578,0,330803,4.04E+07,198320,1252276,0,2819856,2056612,0,743039,2109760,0,4188718,0,745738,805346,1128557,0,269375,0,0,6799116,942298,0,4339494,0,4366374,2.35E+07,1689269,0,0,1412503,757336,1015913,0,596864,0,0,0,0,4234264,9654374,697628,0,0,8.99E+07,0,2106021,0,0,5971644,0,0,450217,0,0,9312638,791432,0,0,1.26E+07,1827517,1236799,4800286,2.77E+07,0,3126280,0,8779626,0,0,0,0,0,0,0,0,693515,0,0,3256633,0,0,669358,3474461,673281,0,0,0,0,460325,557452,0,0,0,2831755,0,0,0,0,2116668,0,0,1578403,0,0,5543945,1833161,0,0,0,7219116,0,0,0,508694,0,311684,0,9563654,6473828,1924715,0,3645627,8563266,1284595,0,0,0,0,0,4389424,0,1684678,1318109,5013270,3930816,0,0,9138860,2378914,3694053,0,0,0,0,3384263,0,0,1.14E+07,3.54E+07,0,0,0,0,2.14E+07,0,1118188,0,0,0,2.78E+07,0,0,1642809,0,0,3.77E+07,1.51E+07,0,594089,0,1767367,1670516,1108325,0,0
