0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,0,0,8641,7345,8229,0,0,0,0,11508,7816,0,0,0,0,0,0,2881,0,4863,0,0,0,0,0,9931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5954,8508,0,0,0,0,3330,0,0,0,0,0,0,5212,9017,0,0,1350,15682,0,3273,0,0,0,0,0,0,0,0,5838,0,0,0,21920,0,3943,3542,8359,0,0,0,16746,0,0,0,2548,0,0,2748,0,4071,0,0,0,0,0,2080,0,0,0,0,10499,0,0,0,0,0,0,0,0,4818,0,0,0,0,0,0,0,0,11160,2559,0,0,0,5964,0,0,0,0,0,0,0,4527,5711,360,0,0,27397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,12313,7240,0,0,0,0,2651,0,0,0,0,0,16503,0,0,0,10707,0,12921,18533,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,1883,0,3781,9326,0,0,0,0,0,0,9153,0,0,0,0,10405,0,0,0,10223,0,0,0,0,0,9656,0,0,0,451,0,294,0,0,0,0,0,11827,0,7000,7039,3740,0,0,0,4314,0,0,0,0,0,0,0,5311,9082,0,0,0,13339,0,22468,0,0,0,0,0,0,0,0,8066,0,0,0,0,0,3859,1250,16404,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,11167,0,578,460,13192,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,8792,0,0,0,0,0,9164,1262,0,0,0,3417,0,0,0,1649,0,0,0,484,6464,2244,0,8194,10420,0,0,0,0,0,0,0,0,0,0,0,4350,0,0,7743,0,0,0,0,0,0,0,0,0,7068,9035,0,0,0,0,0,0,0,0,0,0,12001,0,0,0,0,0,10807,11867,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,5590,0,2552,3794,0,0,9018,4439,0,1613,8858,0,786,0,0,679,0,11040,0,4463,3306,0,0,0,741,14583,0,0,2022,1914,4781,798,0,2269,3645,0,0,3045,0,7746,5390,4205,1165,0,0,2903,0,0,808,0,0,296,0,9827,18333,3193,1045,0,22574,0,4319,0,0,3754,0,0,526,0,0,4940,0,0,0,0,16045,3128,496,24936,0,5456,23987,0,6403,0,0,2134,0,22575,0,0,1321,12260,0,1833,13019,0,256,5394,0,1137,0,0,0,3210,1508,0,0,0,3643,0,0,0,0,0,8944,0,0,0,0,11215,6645,0,4156,5339,7912,0,3114,0,2242,0,450,0,1565,6367,7441,8319,2871,20833,0,0,0,0,0,0,0,0,168,4939,4985,1478,0,0,5170,0,0,0,0,0,0,707,0,0,9477,9993,0,0,0,0,11043,0,975,0,0,2995,15378,0,0,0,5335,36829,26419,20929,0,0,0,0,960,305,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,3426,2785,0,0,0,0,0,0,21681,0,0,0,0,0,1288,51196,0,0,0,0,0,0,0,11742,0,0,0,2743,0,1163,0,0,0,0,0,0,0,1116,2398,2597,0,0,0,0,0,0,0,0,0,0,0,3270,53618,0,0,0,9395,0,0,0,0,0,0,0,0,0,0,2424,0,0,0,0,0,4519,0,19919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6330,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,12843,0,0,34559,5531,0,0,6259,7040,0,0,0,0,0,0,0,1906,0,68026,0,0,3877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2491,0,0,0,0,0,0,0,0,0,7470,11147,0,0,0,3339,0,0,0,0,0,0,0,0,0,0,0,0,77309,62122,0,0,0,0,6194,0,22877,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,18,0,0,11730,0,0,0,13408,10175,0,3003,8726,15313,0,3356,14221,0,0,0,14037,1271,0,26236,0,5114,0,0,0,1697,64,11256,0,0,0,20123,41119,8936,0,5871,919,4636,0,4013,2044,1816,14414,7202,0,0,3931,9222,6821,8,4767,0,812,0,0,16593,25425,2642,0,0,71074,0,4153,0,4267,6739,483,0,3155,0,571,7672,972,0,10797,9560,7973,10219,25264,46879,0,24463,1820,772,0,0,0,13845,0,0,0,0,1212,1831,0,4491,10181,0,5720,8556,1956,88,0,0,0,0,1144,0,0,0,16017,0,0,0,0,0,0,0,0,0,0,20168,8793,0,0,0,14334,0,0,0,9721,0,23617,17001,6208,13522,8103,5595,6701,28731,0,0,0,0,0,1328,0,0,0,1236,10385,3537,0,0,10194,0,5430,0,0,0,0,56,3737,0,17273,17158,14220,0,0,2788,24300,0,0,0,1721,588,21034,2792,0,0,8773,36349,32219,72487,19091,2160,0,17465,6372,0,0,0
Armenia,0,0,0,0,0,0,4432,0,3520,5037,0,0,0,0,0,7839,5845,0,0,0,0,0,0,2863,0,6407,0,0,0,0,0,3620,0,0,0,765,4570,978,0,0,0,147,0,0,0,7229,5952,2430,0,0,0,0,878,0,0,0,1195,0,0,5256,5880,1309,0,26034,5595,0,5313,0,0,0,0,0,0,0,0,3901,0,0,0,12021,17013,1580,7280,5145,0,5324,0,2972,0,0,0,4977,0,0,2538,0,2395,5456,0,0,0,0,4402,14,450,0,0,0,0,0,0,0,0,0,1315,0,3339,0,1635,0,0,0,0,0,0,4210,4617,0,0,0,1802,0,0,0,2304,0,0,0,0,5718,2817,0,3483,14477,0,0,0,0,0,0,0,0,0,0,0,1752,0,0,2165,0,0,0,0,0,0,0,0,0,6088,4548,15470,0,3454,0,0,0,0,0,0,0,835,9338,0,0,16561,11731,3875,6654,0,6984,0,0,0,1504,0,0
Australia,0,32,6848,0,15088,0,12425,0,0,15572,7686,1881,0,23010,284,5562,29940,0,586,270,6229,3325,240,17845,16896,6566,756,0,0,8517,0,25607,0,2608,602,30157,145468,5757,0,8295,10676,3310,0,8184,0,19478,23963,19985,0,0,2105,9366,19601,0,2700,0,3172,0,9490,24347,45305,5507,0,0,61590,2222,23086,0,1705,7995,0,0,522,0,0,10679,3802,0,162808,16572,13920,19832,35564,62488,0,68863,17752,13203,3358,0,0,73212,0,0,0,1507,1782,21465,0,2293,9150,0,4596,10381,4726,424,3733,97004,0,374,3148,642,0,3814,22312,0,516,0,5471,0,0,0,3862,0,0,31614,40679,0,0,108312,23112,0,0,0,7240,0,34,12986,46010,21141,10658,0,8797,29592,980,1354,0,0,0,0,0,0,0,9469,12751,5779,0,0,18239,7471,5107,0,0,13429,0,0,5408,2051,38632,45366,9721,0,0,5141,112033,10849,0,0,0,484,40151,3620,0,2445,12081,0,64799,149086,0,4088,9823,19366,24887,0,3093,0
Austria,0,5054,495,0,8288,0,0,0,15649,0,1916,0,0,18899,0,0,29438,0,2325,0,564,27507,0,1742,0,5419,3543,0,0,3318,0,10186,0,792,2287,1941,0,258,0,0,7553,326,0,15967,0,9803,53338,13168,0,0,555,1040,1686,0,1080,0,0,0,0,9826,42427,1057,0,0,159065,0,6972,0,0,10298,0,0,680,0,0,19421,1493,0,0,24584,3855,9714,18720,100019,0,11201,0,34069,0,0,0,0,0,0,0,0,2211,0,0,3775,0,0,1752,9646,1244,0,0,0,0,0,928,0,0,0,6359,0,0,0,0,3364,0,0,1408,0,0,27737,3885,0,0,0,20807,0,0,0,935,0,192,0,14029,25342,8037,0,15148,17306,0,0,0,0,0,0,0,0,0,2651,8438,3677,0,0,32507,0,2650,0,0,0,0,0,0,0,30605,58972,0,0,0,0,33566,0,0,0,0,0,42015,0,0,1240,0,0,116056,59488,0,1935,0,5982,5217,200,0,0
