,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Columbia,Comoros,Congo,Congo- Democratic Republic of,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea- North,Korea- South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,44,0,0,0,0,0,0,44,44,0,0,0,44,0,0,0,0,0,0,0,0,0,0,44,0,44,44,44,0,0,0,44,0,44,0,44,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0,44,0,0,0,0,0,0,44,0,0,0,44,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,119,0,0,0,15,0,0,0,0,0,0,0,128,14,0,0,0,44,44,44,0,37,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,50,50,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,50,0,50,0,0,0,0,0,0,50,0,50,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,50,0,0,0,0,0,0,0,50,0,50,0,0,0,0,50,0,0,0,0,50,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,121,0,50,50,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,101,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,152,0,114,29,0,0,0,0,0,0,0,0,82,220,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,11,0,0,0,0,108,0,184,120,0,73,0,0,208,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,96,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,64,99,0,0,0,0,75,0,133,124,0,117,198,0,0,0,0,0,0,0,127,69,80,0,0,0,0,0,0,0,147,0,0,0,0,0,0,119,142,0,0,0,0,0,0,0,0,0,62,0,0,0,0,121,0,0,0,0,0,0,0,88,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,0,0,0,0,62,0,62,0,0,0,0,62,0,62,0,0,0,62,0,0,62,62,0,62,0,62,0,62,0,0,0,0,0,62,0,62,0,0,0,0,0,62,62,0,0,62,62,0,0,0,0,0,0,0,62,0,0,0,62,0,0,0,0,62,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,62,62,62,0,0,62,0,0,0,62,62,0,0,0,0,0,0,0,0,62,62,0,62,62,0,0,0,0,0,0,62,0,62,62,0,0,0,0,0,0,0,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,62,0,62,62,0,0,0,0,88,0,27,36
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,105,105,0,105,0,0,105,105,105,0,0,0,0,0,105,105,0,0,0,105,0,0,152,0,114,0,0,0,0,0,105,30,0,0,82,220,71,0,0,59,105,0,73,105,0,119,105,0,0,61,58,181,45,0,0,0,0,0,105,105,0,0,0,105,0,130,0,59,0,0,0,30,105,55,108,0,184,120,98,0,105,106,208,0,105,0,0,0,0,0,114,0,105,0,0,0,73,0,0,105,0,55,0,0,0,0,116,0,0,0,0,0,0,96,0,0,0,0,0,100,0,0,0,0,105,105,42,0,103,99,0,99,0,105,0,39,75,101,133,124,0,117,198,0,0,0,0,0,0,0,127,69,80,0,0,0,66,58,0,0,147,0,105,0,0,0,0,119,142,59,0,0,0,113,0,0,0,0,62,128,0,0,0,121,0,105,105,56,0,0,105,88,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,21,21,0,21,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,121,0,21,21,0,0,0,0,0,0,0,0
Australia,134,0,134,0,0,0,134,0,0,134,0,0,0,134,0,0,134,0,0,0,0,134,134,134,134,134,0,0,0,134,0,134,0,0,0,134,134,134,0,0,0,0,0,134,134,134,134,134,0,0,0,134,134,0,0,0,0,0,134,134,134,0,0,0,134,134,134,0,0,0,0,0,0,134,0,134,0,184,120,98,73,134,106,208,0,134,65,0,61,0,0,114,0,134,0,30,0,73,0,0,134,0,0,0,49,0,0,116,0,0,134,0,0,29,96,0,0,0,30,0,100,0,38,0,30,134,134,0,0,103,99,0,99,0,0,16,39,75,101,133,124,0,117,198,0,0,0,0,134,0,0,127,0,80,0,0,68,66,58,134,0,147,0,134,63,0,0,0,119,142,59,44,0,0,113,10,0,134,0,0,128,0,0,35,121,134,134,134,56,0,134,134,88,0,0,36
Austria,48,52,78,0,62,0,101,39,0,0,51,0,0,0,0,54,0,18,0,0,37,57,0,152,0,114,29,45,0,0,0,0,30,0,0,82,220,71,0,0,0,0,0,73,0,69,119,0,0,0,0,58,181,0,0,0,45,41,0,0,0,0,0,53,0,0,130,0,59,0,0,0,0,0,0,108,0,184,120,98,73,0,106,208,0,0,65,60,61,0,35,114,34,0,22,0,51,73,0,0,0,0,55,0,49,0,0,116,25,0,0,0,0,0,96,0,29,0,30,33,100,0,0,0,0,0,0,42,0,103,99,64,99,0,0,0,39,75,101,133,124,0,117,198,0,0,0,0,0,0,0,127,0,80,0,0,0,66,58,0,0,147,0,0,63,67,0,0,119,142,59,0,15,0,113,0,0,0,0,62,128,14,0,0,121,0,0,0,56,37,0,0,88,50,0,36
Azerbaijan,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,0,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,31,0,31,31,0,31,31,0,31,0,31,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,31,0,31,31,31,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,31,31,0,37,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Bahrain,72,0,72,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,72,0,0,0,0,72,0,0,72,0,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,72,72,72,72,0,0,72,0,72,72,0,72,0,0,0,0,72,0,0,0,72,0,0,72,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,72,0,0,0,0,0,0,72,72,0,0,0,0,0,72,0,0,72,0,72,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,0,72,0,0,0,72,0,0,0,0,72,72,0,0,0,0,72,72,72,0,0,0,0,0,50,0,0
Bangladesh,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,48,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,48,0,0,0,48,48,48,48,0,0,48,0,48,0,0,0,0,48,48,0,48,0,0,0,0,0,0,48,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,48,0,0,0,48,48,0,48,0,0,0,0,0,48,0,0,48,0,48,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,48,0,0,0,48,48,0,0,0,0,113,0,0,0,0,0,128,0,0,0,0,48,48,48,0,0,0,0,88,0,0,0
Barbados,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,17,0,0,0,17,0,0,0,0
Belarus,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,37,0,37,0,0,0,0,0,0,37,0,0,0,37,0,37,0,0,37,37,0,37,0,37,0,0,0,0,0,0,37,0,37,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,37,0,0,0,0,0,0,0,0,0,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,37,37,0,0,37,0,37,37,0,0,0,0,88,0,0,0
Belgium,48,52,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,18,44,0,37,57,14,152,0,114,29,0,16,34,51,0,30,13,15,82,220,71,0,38,59,0,58,73,0,69,119,0,31,0,61,58,181,45,0,23,45,41,21,0,0,0,31,53,0,68,130,0,59,36,11,17,30,0,55,108,0,184,120,98,73,0,106,208,26,0,65,60,61,0,0,114,34,0,22,30,51,73,16,24,0,0,55,0,49,27,14,116,25,32,0,0,27,29,96,0,29,0,30,33,100,40,38,0,30,0,0,42,17,103,99,0,99,0,0,16,39,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,14,25,68,66,58,0,21,147,15,0,63,67,14,22,119,142,59,0,15,50,113,10,30,0,28,62,128,14,0,35,121,0,0,0,56,37,0,0,88,50,27,36
