,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0.0,0.0,0.0,0.0,0.0,0.0010236561402168028,0.0,3.010572708377617,0.7749076981441196,0.009212905261951223,0.0,0.07370324209560979,0.05118280701084013,0.0,0.04811183859018973,0.2733161894378863,0.0,0.0,0.0,0.0,0.0,0.0,0.006141936841300816,0.0,0.0388989333282385,0.0,0.0,0.0,0.0,0.0,4.734409648502712,0.0,0.0,0.0,0.0020473122804336055,0.0,0.014331185963035238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010236561402168028,0.09110539647929544,1.3757938524513829,0.0,0.0,0.0,0.009212905261951223,0.008189249121734422,0.0,0.0,0.0,0.0010236561402168028,0.0,0.0,0.37670545959978335,0.373634491179133,0.0,0.0,0.0020473122804336055,11.585740194973772,0.0,0.02763871578585367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11874411226514911,0.0010236561402168028,0.0,0.0,155.1688687024836,0.02763871578585367,0.025591403505420066,0.29276565610200556,0.456550638536694,0.0,0.0,0.0010236561402168028,0.1494537964716532,0.0,0.0,0.0,0.0020473122804336055,0.0,0.029686028066287277,0.003070968420650408,0.0,0.006141936841300816,0.0,0.0,0.0,0.009212905261951223,0.0,0.003070968420650408,0.0,0.0,0.0,0.0,0.0388989333282385,0.0,0.0,0.0,0.0,0.0,0.0,0.0010236561402168028,0.0,0.016378498243468844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2490845890481315,0.28252909469983756,0.0010236561402168028,0.0,0.0,1.244765866503632,0.0,0.0,0.0,0.0010236561402168028,0.0,0.0,0.0,0.11055486314341469,0.018425810523902447,0.0020473122804336055,0.14126454734991878,0.0010236561402168028,1.5037508699784832,0.0,0.0,0.0,0.0,0.20370757190314373,0.0,0.0,0.0,0.0,0.0,0.02252043508476966,0.0020473122804336055,0.0,0.0,0.004094624560867211,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.7924219015196214,0.37670545959978335,0.15457207717273722,0.0,0.33371190171067766,0.0,0.0020473122804336055,0.0,0.0,0.0,0.0,0.0,1.281617487551437,0.005118280701084013,0.0,0.0,0.10748389472276428,0.5773420630822768,4.864413978310246,6.462341213188675,0.0,0.04913549473040653,0.0,0.0020473122804336055,0.0,0.0,0.0,0.0
Albania,0.0,0,0.0,0.0,0.0,0.0,0.012283873682601632,0.0,0.17811616839772365,0.33575921399111125,0.0,0.0,0.0,0.039922589468455304,0.0,0.0,0.43198289117149075,0.0,0.0,0.0,0.0,0.9765679577668297,0.0,0.0,0.0,0.25796134733463427,0.0,0.0,0.0,0.0,0.0,1.6009982032990793,0.0,0.0,0.0,0.003070968420650408,0.0,0.003070968420650408,0.0,0.0,0.0,0.0,0.0,0.3081204982052576,0.0020473122804336055,0.0388989333282385,0.08598711577821143,0.042993557889105714,0.0,0.0,0.003070968420650408,0.013307529822818435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03480430876737129,0.5681291578203255,0.0,0.0,0.0,6.817549893843906,0.0,110.5917147644625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039922589468455304,0.005118280701084013,0.0,0.0,0.0,0.0,0.077797866656477,0.0020473122804336055,80.57197479646453,0.0,0.0,0.0020473122804336055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010236561402168028,0.0,0.0,0.0,0.016378498243468844,0.0,0.0020473122804336055,0.03378065262715449,4.6627537186875365,0.0,0.0,0.0,0.0,0.0,0.014331185963035238,0.0,0.0,0.0,0.0010236561402168028,0.0,0.0,0.0,0.0,4.2491966380399475,0.0,0.0,0.0,0.0,0.0,0.40229686310520346,0.012283873682601632,0.0,0.0,0.0,0.13102798594775075,0.0,0.0,0.0,0.0020473122804336055,0.0,0.0,0.0,0.0388989333282385,0.025591403505420066,0.010236561402168026,0.0,0.15457207717273722,0.06960861753474258,0.0,0.0,0.0,0.0,0.0,0.0,1.6112347647012475,0.0,0.0,0.0,0.028662371926070476,0.03582796490758809,0.0,0.0,0.03378065262715449,0.0,0.3030022175041736,0.0,0.0,0.0,0,0.0,0.0,0.0,0.17402154383685645,0.9458582735603257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34190115083241207,0.0,0.0,0.0,0.0,0.0,2.9337984978613565,9.810720447837836,0.0,0.0,0.0,0.0020473122804336055,0.01126021754238483,0.0,0.0,0.0
Algeria,0.0,0.0,0,0.0,0.0,0.0,0.008189249121734422,0.0,0.18835272979989168,0.14126454734991878,0.0,0.0,0.007165592981517619,0.012283873682601632,0.0010236561402168028,0.014331185963035238,0.17606885611729006,0.0,0.0020473122804336055,0.0,0.0020473122804336055,0.0020473122804336055,0.0010236561402168028,0.060395712272791356,0.0010236561402168028,0.09417636489994584,0.024567747365203264,0.0,0.0,0.020473122804336052,0.005118280701084013,4.67094296780927,0.0010236561402168028,0.007165592981517619,0.04913549473040653,0.014331185963035238,0.003070968420650408,0.010236561402168026,0.0,0.003070968420650408,0.040946245608672105,0.006141936841300816,0.0,0.008189249121734422,0.0,0.016378498243468844,0.16583229471512204,0.12590970524666673,0.004094624560867211,0.0,0.02354409122498646,0.008189249121734422,0.0,0.0,0.0020473122804336055,0.0,0.0,0.0020473122804336055,0.0,0.10031830174124666,85.36063822039874,0.013307529822818435,0.0020473122804336055,0.0,3.4272007574458554,0.0020473122804336055,0.24772478593246625,0.0,0.0,0.008189249121734422,0.0,0.0010236561402168028,0.004094624560867211,0.0,0.004094624560867211,0.1525247648923036,0.006141936841300816,0.0,0.0,0.0,0.03070968420650408,0.1904000420803253,6.77148536753415,2.6676479014049876,0.004094624560867211,0.006141936841300816,1.1137378805558813,0.0,0.03480430876737129,0.0,0.0,0.0020473122804336055,0.0,0.040946245608672105,0.0,0.0,0.006141936841300816,0.31938071574764243,0.0,0.018425810523902447,0.12898067366731714,0.0,0.0020473122804336055,0.01126021754238483,0.0010236561402168028,0.11055486314341469,0.0,0.0010236561402168028,0.0,0.0788215227966938,0.009212905261951223,0.005118280701084013,0.12693336138688352,0.0010236561402168028,0.3459957753932793,0.0,0.0,0.0,0.0,0.0,0.014331185963035238,0.0,0.0,0.0,0.0,0.5159226946692685,0.03378065262715449,0.0,0.09520002104016265,0.005118280701084013,0.12283873682601631,0.0,0.005118280701084013,0.0,0.006141936841300816,0.0,0.0020473122804336055,0.0,0.021496778944552857,0.07165592981517618,0.16992691927598924,0.01126021754238483,0.006141936841300816,0.17811616839772365,0.003070968420650408,0.0,0.0,0.0010236561402168028,0.0,0.20166025962271011,0.013307529822818435,0.0,0.0020473122804336055,0.012283873682601632,0.020473122804336052,0.010236561402168026,0.0010236561402168028,0.0,0.10850755086298108,0.1515011087520868,9.81890969695957,0.0,0.0,0.0,0,2.2469252277758818,0.003070968420650408,0.0,0.20268391576292694,0.5210409753703525,0.0,0.0,0.0,0.0,0.09212905261951224,0.0,0.004094624560867211,0.0,0.004094624560867211,0.006141936841300816,0.07165592981517618,0.0010236561402168028,0.0,0.16276132629447163,0.005118280701084013,0.07984517893691061,1.8292735225674264,2.471105922483362,0.0,0.0,0.0,0.01535484210325204,0.0020473122804336055,0.5333248490529542,0.0,0.0
Andorra,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0,0.0,0.0010236561402168028,0.0,0.04708818244997292,0.013307529822818435,0.0,0.0,0.0,0.32756996486937684,0.0,0.0,0.05323011929127374,0.0,0.0,0.0,0.0,0.0,0.11874411226514911,0.4995441964257997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21701510172596217,0.17913982453794047,0.0020473122804336055,0.0,0.006141936841300816,0.0,0.003070968420650408,0.0,0.044017214029322516,0.0,0.0,0.0,0.0,0.003070968420650408,0.0020473122804336055,0.006141936841300816,0.009212905261951223,0.0,0.0,0.0020473122804336055,0.0010236561402168028,0.0,0.0,0.006141936841300816,0.04504087016953932,0.0,0.0,0.0,0.008189249121734422,0.6049807788681304,0.028662371926070476,0.0,0.0,0.028662371926070476,0.0,0.0,0.0,0.0,0.003070968420650408,0.0,0.0,0.0,0.0,0.0,0.005118280701084013,0.0020473122804336055,0.0,0.0,0.0,0.0,0.059372056132574555,0.0010236561402168028,0.13102798594775075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040946245608672105,0.0,0.0,0.010236561402168026,0.0,0.0,0.0020473122804336055,0.0,0.004094624560867211,0.0,0.0,0.004094624560867211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9276565610200556,0.0,0.0,0.23953553681073184,0.021496778944552857,0.0,0.0,0.006141936841300816,0.010236561402168026,0.0,0.0,0.0,0.0010236561402168028,0.0,0.0,0.0,0.1944946666411925,0.0010236561402168028,10.01135705132033,0.0,0.0,0.014331185963035238,0.077797866656477,0.0,0.0,0.02661505964563687,0.0,0.0,0.0,0.0,0.0,0.0,0.003070968420650408,0.0,0.0,0.0,1.4351659085839574,0.0,0.23748822453029822,0.0,0.0,0.0,0,0.0,0.0,0.008189249121734422,0.025591403505420066,0.22418069470747978,0.0,0.0,0.0,0.04504087016953932,0.0010236561402168028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0860991647700275,0.7401033893767484,0.0,0.0,0.0,0.02252043508476966,0.024567747365203264,0.0,15.092786131356538,0.0
Antigua & Barbuda,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.004094624560867211,0.014331185963035238,0.062443024553224966,0.0,0.10850755086298108,0.0,0,0.0,3.3586157960513296,0.8250668490147429,0.006141936841300816,0.024567747365203264,0.004094624560867211,0.32552265258894325,0.0010236561402168028,0.028662371926070476,0.9479055858407592,0.0010236561402168028,0.0,0.0,8.792182588322119,0.042993557889105714,0.025591403505420066,5.851218497479244,0.0,0.24874844207268304,0.0,0.0,0.0010236561402168028,0.004094624560867211,0.0020473122804336055,5.587115213303309,0.03070968420650408,0.014331185963035238,0.0010236561402168028,16.46653267152749,0.08086883507712742,1.302090610355773,0.0,0.008189249121734422,0.0020473122804336055,0.22418069470747978,0.0,0.1535484210325204,0.004094624560867211,0.08803442805864503,0.7912861963875885,0.4657635437986452,0.0,0.0,1.1331873472200005,3.428224413586072,0.02763871578585367,0.010236561402168026,0.21394413330531176,0.0,0.008189249121734422,0.0,0.0,0.23339359996943101,5.710977606269542,0.004094624560867211,0.0,0.0,9.384879493507647,0.008189249121734422,0.7667184490223852,0.0,0.05118280701084013,0.029686028066287277,0.0020473122804336055,0.0020473122804336055,0.3347355578508945,0.0,0.02354409122498646,0.5640345332594583,0.07370324209560979,0.0,0.005118280701084013,0.05323011929127374,0.004094624560867211,0.9612131156635777,10.720750756490574,43.02017294875135,0.003070968420650408,0.554821627997507,0.02252043508476966,0.2722925332976695,0.0,0.0,0.003070968420650408,0.014331185963035238,0.0,0.0,0.0,0.0,0.041969901748888906,0.2528430666335503,0.0,0.06346668069344176,0.010236561402168026,0.0,0.044017214029322516,0.24772478593246625,0.005118280701084013,0.013307529822818435,0.0,0.0,0.0,0.0,0.016378498243468844,0.014331185963035238,0.0388989333282385,0.010236561402168026,3.3084566451807063,0.0,0.0020473122804336055,0.0,0.0010236561402168028,0.007165592981517619,0.0,0.0,0.0010236561402168028,0.0,0.0,0.850658252520163,0.48930763502363167,0.006141936841300816,0.0,0.0,0.4268646104704067,0.0,0.0,0.0,0.44324310871387557,0.0,17.926266327476647,0.12283873682601631,0.29481296838243914,0.7861679156865045,1.5129637752404343,0.004094624560867211,1.3512261050861796,0.4995441964257997,0.0020473122804336055,0.0,0.0,0.0,0.0020473122804336055,0.0020473122804336055,0.40127320696498664,0.0,0.0010236561402168028,0.006141936841300816,0.32756996486937684,0.2661505964563687,0.0,0.0,2.8150543855962074,0.004094624560867211,102.65019042866054,0.0,0.0,0.0010236561402168028,0,0.004094624560867211,0.012283873682601632,0.0,1.0257034524972364,3.179475971513389,0.021496778944552857,0.0,0.0,0.014331185963035238,0.12898067366731714,0.0020473122804336055,0.0,0.0,0.0020473122804336055,0.004094624560867211,0.4135570806475883,0.004094624560867211,0.0,0.024567747365203264,0.12079142454558271,0.017402154383685645,2.6481984347408685,30.951267055595245,3.4046803223610858,0.004094624560867211,0.0,2.7075704908734433,0.03275699648693769,0.004094624560867211,0.0,0.0
Armenia,0.0,0.0020473122804336055,0.01126021754238483,0.0,0.0,0.0,0.31426243504655843,0,0.39615492626390264,0.8649894384831982,20.37587547101546,0.0,0.0,0.0020473122804336055,0.0,2.3411015926758276,0.44324310871387557,0.0,0.0,0.0,0.0020473122804336055,0.0010236561402168028,0.0,0.008189249121734422,0.0,0.7656947928821684,0.0,0.0,0.0,0.0020473122804336055,0.0,0.669471115701789,0.0020473122804336055,0.0020473122804336055,0.0,0.004094624560867211,0.006141936841300816,0.010236561402168026,0.0,0.007165592981517619,0.0,0.0020473122804336055,0.0,0.0,0.0,0.4002495508247698,0.6664001472811385,0.1863054175194581,0.0,0.0,0.003070968420650408,0.017402154383685645,0.0020473122804336055,0.0,0.0,0.0,0.12898067366731714,0.0,0.0,0.2692215648770191,3.2153039364209772,0.0020473122804336055,0.0,0.03070968420650408,12.224501626469058,0.0,4.135570806475883,0.0,0.0,0.008189249121734422,0.0,0.0,0.0,0.0,0.0,0.12693336138688352,0.005118280701084013,0.0,0.0,5.54207434313377,0.04913549473040653,0.06346668069344176,2.7096178031538765,0.5773420630822768,0.0,0.024567747365203264,0.024567747365203264,7.9292404621193535,0.0,0.0,0.0,0.010236561402168026,0.0,0.0,0.47907107362146367,0.0,0.456550638536694,0.10236561402168026,0.0,0.0,0.03275699648693769,0.0,0.17197423155642286,0.003070968420650408,0.004094624560867211,0.0010236561402168028,0.0,0.0,0.0,0.0010236561402168028,0.009212905261951223,0.0,0.0,0.0,0.06858496139452577,0.0,0.4330065473117075,0.0,0.004094624560867211,0.0,0.0,0.0,0.0,0.0,0.0,0.30095490522373997,0.03173334034672088,0.0,0.0,0.0,0.12488604910644993,0.0,0.0,0.0,0.004094624560867211,0.0,0.0,0.0,0.09929464560102985,0.5282065683518702,0.09417636489994584,0.0,0.06346668069344176,136.53627963825735,0.0,0.0,0.0,0.0,0.0,0.0,0.020473122804336052,0.0,0.0010236561402168028,0.0,0.0788215227966938,0.009212905261951223,0.0,0.0,0.03070968420650408,0.0,1.3983142875361525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6070280911485639,0.25181941049333345,0.05527743157170734,0.0,0.013307529822818435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0084133471053667,1.0144432349548513,0.0,0.009212905261951223,21.756787604167926,0.004094624560867211,0.10338927016189707,17.477904938061688,0.0,3.455863129371926,0.0,0.014331185963035238,0.0,0.003070968420650408,0.0,0.0
Australia,0.0,0.2999312490835232,0.08905808419886183,0.0,0.18732907365967488,0.0,0.016378498243468844,0.0,0,2.3421252488160444,0.01944946666411925,0.01126021754238483,0.0,0.3152860911867752,0.006141936841300816,0.04708818244997292,1.1598024068656374,0.0,0.0020473122804336055,0.004094624560867211,0.04811183859018973,2.2684220067204346,0.16276132629447163,0.18425810523902447,0.07063227367495939,0.3705635227584826,0.0020473122804336055,0.0,0.0,0.5947442174659624,0.0,3.8325685889717094,0.004094624560867211,0.018425810523902447,0.0020473122804336055,0.6193119648311656,0.9796389261874802,0.08701077191842822,0.0,0.01535484210325204,0.09008174033907863,0.009212905261951223,0.0,0.4954495718649325,0.0,3.4456265679697577,1.6900562874979412,0.8793206244462335,0.0,0.0,0.028662371926070476,0.3521377122345801,0.04708818244997292,0.0010236561402168028,0.006141936841300816,0.0,0.014331185963035238,0.0,0.0757505543760434,0.45040870169539315,1.7924219015196214,0.018425810523902447,0.0,0.0,15.644536790933396,0.016378498243468844,18.471875050212205,0.0,0.004094624560867211,0.042993557889105714,0.0010236561402168028,0.0,0.006141936841300816,0.0,0.0,2.03298109447057,0.160714014014038,0.0,7.040706932411169,0.43403020345192433,0.013307529822818435,2.0933768067433616,1.5600519576904073,27.148384494689825,0.0,1.2805938314112202,0.17811616839772365,0.5384431297540382,0.004094624560867211,0.0,0.056301087711924144,0.8086883507712741,0.0,0.0,0.0,0.003070968420650408,0.08291614735756102,2.1885768277835242,0.0,0.017402154383685645,0.007165592981517619,0.0,0.06346668069344176,0.16276132629447163,0.09520002104016265,0.010236561402168026,0.014331185963035238,0.23953553681073184,0.0,0.0020473122804336055,0.6909678946463418,0.006141936841300816,0.0020473122804336055,0.03480430876737129,0.14024089120970196,0.0,0.006141936841300816,0.0,0.05118280701084013,0.14535917191078598,0.0,0.0020473122804336055,0.059372056132574555,0.0,0.0,1.6849380067968571,11.920475752824666,0.0,0.0,0.24772478593246625,1.2201981191384288,0.0,0.0,0.0,0.05323011929127374,0.0,0.012283873682601632,0.03582796490758809,0.7032517683289434,0.8199485683136589,1.032869045478754,0.0,1.1587787507254206,0.9253851507559896,0.08189249121734421,0.042993557889105714,0.0,0.0,0.0,0.004094624560867211,3.4220824767447713,0.0,0.0010236561402168028,1.2140561822971279,1.4454024699861254,0.6889205823659081,0.0,0.0,10.19049687585827,0.2968602806628728,8.966204132158975,0.0,0.0,0.004094624560867211,0,0.039922589468455304,0.10031830174124666,0.010236561402168026,1.4535917191078598,2.35645643477908,0.009212905261951223,0.0,0.0,0.010236561402168026,4.6340913467614655,0.13307529822818434,0.0020473122804336055,0.0,0.0,0.0020473122804336055,3.781385781960869,0.005118280701084013,0.0,0.017402154383685645,0.12283873682601631,0.0,23.15100726714321,9.178100953183852,0.0,0.013307529822818435,0.11260217542384829,0.11669679998471551,0.06756130525430898,0.04504087016953932,0.01126021754238483,0.0
Austria,0.559939908698591,0.02763871578585367,0.004094624560867211,0.0,0.028662371926070476,0.0,0.0,0.0,0.19551832278140932,0,0.0020473122804336055,0.0,0.0,0.17913982453794047,0.0,0.0,0.15047745261186998,0.0,0.005118280701084013,0.0,0.0020473122804336055,8.831081521650356,0.0020473122804336055,0.003070968420650408,0.0,0.02252043508476966,0.020473122804336052,0.0,0.013307529822818435,0.07165592981517618,0.0,0.08803442805864503,0.0,0.0020473122804336055,0.008189249121734422,0.003070968420650408,0.0,0.0020473122804336055,0.0,0.0,0.09827098946081306,0.004094624560867211,0.0,0.18323444909880768,0.0,0.014331185963035238,1.8282498664272095,0.06960861753474258,0.0,0.0,0.0388989333282385,0.004094624560867211,0.0020473122804336055,0.0,0.0020473122804336055,0.0,0.0,0.0,0.0,0.02252043508476966,0.14740648419121957,0.0020473122804336055,0.0,0.0,3.2818415855350693,0.0,0.020473122804336052,0.0,0.0,0.06346668069344176,0.0,0.0,0.008189249121734422,0.0,0.0,1.072791634947209,0.006141936841300816,0.0,0.0,0.4268646104704067,0.0020473122804336055,0.05323011929127374,0.06858496139452577,0.7298668279745802,0.0,0.009212905261951223,0.0,0.0747268982358266,0.0010236561402168028,0.0,0.0,0.0010236561402168028,0.0,0.0,0.0010236561402168028,0.0,0.01126021754238483,0.0,0.0,0.05015915087062333,0.0,0.0,0.003070968420650408,0.03275699648693769,0.0020473122804336055,0.0,0.0,0.0,0.0,0.0020473122804336055,0.004094624560867211,0.0,0.0,0.0,0.03070968420650408,0.0,0.0010236561402168028,0.0,0.0,0.10441292630211388,0.0,0.0,0.016378498243468844,0.0,0.0010236561402168028,0.0388989333282385,0.01535484210325204,0.0,0.0010236561402168028,0.0010236561402168028,0.10441292630211388,0.0,0.0,0.0,0.0020473122804336055,0.0,0.0020473122804336055,0.0,0.10441292630211388,0.15457207717273722,0.03378065262715449,0.0,0.06449033683365857,0.05732474385214095,0.08803442805864503,0.0,0.0,0.0,0.0,0.0,2.5018156066898656,0.0,0.008189249121734422,0.0020473122804336055,1.5436734594469383,0.6469506806170193,0.0,0.0,0.21087316488466135,0.0747268982358266,0.9305034314570736,0.0,0.0,0.0,0,0.03173334034672088,0.0,0.0,0.17606885611729006,0.9192432139146888,0.0,0.0,0.0,0.0010236561402168028,0.29583662452265597,0.0,0.009212905261951223,0.0,0.0,0.0,0.3572559929356641,0.0010236561402168028,0.0,0.008189249121734422,0.0,0.0,0.9479055858407592,0.13205164208796755,0.0,0.004094624560867211,0.0,0.010236561402168026,0.014331185963035238,0.008189249121734422,0.0,0.0
