0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,0.603316758,0.556312489,0.653130229,0.662814383,0.702023935,0,0,0,0,0.706937792,0.676899796,0,0,0,0,0.614350704,0,0.647840048,0.367534147,0.638082329,0,0,0,0.587416534,0,0.681844549,0,0,0,0,0.726280036,0.479778248,0,0,0,0,0.33102992,0.655789892,0,0.566152652,0.653875555,0.668109366,0,0,0,0.431506783,0.629593523,0,0,0,0.699198914,0,0,0.617969208,0.687904385,0,0,0.658102115,0.722850227,0.362312767,0.635910732,0,0,0,0,0.503035685,0,0,0,0.650354165,0,0.72670333,0.687517572,0.746440183,0,0.652569378,0.585503134,0.675227082,0.529205605,0.698559343,0.614281355,0.719874316,0,0,0,0.705319001,0,0,0.671850801,0,0.709007229,0.596651923,0,0,0,0,0.660109125,0.58289935,0.585157754,0,0,0.66689742,0,0.411593003,0.632945311,0,0,0,0.573859825,0,0.647438375,0,0,0.525179915,0,0,0,0,0,0.700045049,0.575185834,0.508788551,0,0.16586808,0.628733092,0.570000086,0.751014465,0,0,0,0.548355587,0.55294636,0.619556858,0.677033873,0.579647374,0.513548455,0.653726755,0.738111839,0,0,0,0,0,0,0,0.703221957,0.507348958,0.62774189,0,0,0.657131719,0.664569972,0.621404665,0,0,0.681911338,0,0.665024039,0.604984467,0.366994702,0,0,0.689302734,0.656141829,0,0,0,0,0.705360443,0,0,0,0,0.453388694,0.718089051,0,0,0,0.667590012,0,0.707910842,0.745632794,0.580880804,0,0,0,0,0.250960148,0.39354373,0.54976898
Albania,0,0,0.643601298,0,0,0,0.603966932,0,0.610756648,0.691482608,0,0,0,0,0,0.613391519,0.666906702,0,0,0,0,0.676565568,0,0.680533679,0.461504167,0.690129206,0,0,0,0,0.536342661,0.682952925,0,0,0,0.565418083,0.721085787,0.564089894,0,0.702830472,0,0.558435321,0.550789716,0.693055927,0,0.605400832,0.674008639,0.626775565,0,0,0.494818583,0.65205177,0.658887729,0,0,0,0.559965405,0.529132966,0,0.628859819,0.676341093,0,0,0.561174628,0.712254529,0,0.728779713,0,0.582947717,0.664211834,0,0,0,0,0.498621715,0.689254411,0,0.662994969,0.646281154,0.746440183,0.739850078,0.641939496,0.626622386,0.747041676,0,0.608842605,0.564878754,0.64648113,0.698969146,0,0,0.661953542,0,0,0.57409671,0,0.573312368,0.548132258,0,0.639592862,0.728899444,0,0.603531342,0.543897139,0.693282105,0,0,0.616985586,0,0,0.604137535,0,0,0.274405998,0.588624226,0,0.544564729,0,0,0.651334217,0.617232895,0.501966234,0,0,0,0.684759656,0.573684014,0,0,0,0.595109584,0,0.614697231,0,0.714359927,0,0.61468848,0.562445475,0.549578918,0.682897106,0.622617961,0.595365888,0.687877056,0.696150594,0,0,0,0,0,0,0,0.703221957,0.617470709,0.696021041,0,0.636393386,0.600456758,0.674402871,0.684563331,0,0,0.578824918,0,0.68996554,0.632475866,0,0,0.67677937,0.654046444,0.676944457,0.758764163,0,0.669057748,0,0.635315806,0,0,0,0,0.604263579,0.71587027,0,0,0,0.686811996,0.756247871,0.677304833,0.686817177,0.588898485,0.710508352,0,0,0,0,0.324899146,0
Algeria,0,0.53997214,0,0,0.732580393,0,0.745738474,0,0.633849064,0.717029022,0.62336163,0,0.714021355,0.716218583,0,0.612657411,0.7443726,0,0.655788471,0,0,0.626465779,0,0.741704881,0.272727949,0.692904499,0.676523568,0.386089277,0,0,0.623372649,0.724565542,0,0,0.68627497,0.62764884,0.765391667,0.616514046,0,0.702830472,0.695612551,0.520471995,0.700905437,0.68535306,0.705262031,0.647089423,0.709494983,0.695743068,0.651277933,0,0.510553013,0.683416197,0.723364818,0.560414298,0.7106374,0,0.655145049,0.606092898,0,0.712970719,0.771378849,0.699634865,0.625378541,0.549704871,0.753101161,0,0.727808863,0,0.668355695,0.664211834,0.618090304,0,0.656532457,0,0,0.707428639,0,0.739448082,0.712407248,0.746440183,0.739850078,0.689407427,0.545001161,0.76380482,0.425826958,0.731251688,0.703728042,0.581370937,0.698969146,0,0,0.741157475,0,0.742690803,0,0,0.716355417,0.672455797,0,0.639592862,0.728899444,0,0.596971714,0.675335062,0.563926338,0.616364061,0,0.704029003,0,0.612888645,0.662586418,0,0.479752788,0.367960163,0.707105795,0,0.60708451,0,0,0,0.713846022,0,0.370960084,0,0.67159258,0.738886915,0.721078612,0,0.616899166,0.74402536,0.71780272,0.67655991,0.680460291,0,0.714359927,0,0.670723597,0.673603589,0.621190264,0.719839108,0.729186513,0.687186428,0.727150423,0.755372454,0,0,0,0,0,0,0,0.703221957,0.559728043,0.672024946,0.768248506,0.636393386,0.678296825,0.705060989,0.71728076,0,0,0.723122416,0,0.762490547,0.608608428,0.553530031,0,0,0.725346606,0.724691651,0.758764163,0,0.669057748,0.628202447,0.714884261,0,0.63401106,0,0,0.727036316,0.748715761,0,0,0.291366866,0.718148088,0.756247871,0.729950507,0.74416634,0.68076768,0,0,0,0.703397915,0.547266146,0.506643017,0
Andorra,0,0,0,0,0,0,0.489450187,0,0,0.63529481,0,0,0,0,0,0,0.64843703,0,0,0,0,0,0.416672125,0.57143709,0,0.507246808,0,0,0,0,0.432606058,0.546629139,0,0,0,0,0.67268375,0,0,0,0,0.535310018,0,0,0,0,0.625194471,0.594372121,0,0.30999591,0.529628259,0,0,0.328895291,0,0,0,0.463300311,0,0.536864565,0.717207898,0,0,0,0.680444332,0,0.565315156,0,0,0,0,0,0,0,0.436966617,0,0.43655308,0.532667055,0.565905441,0,0,0.577355924,0.532325736,0.664819358,0,0.582110507,0,0,0,0,0,0.605741874,0,0,0,0,0.510596192,0.452753361,0,0,0,0,0.453056589,0.618765328,0,0,0,0.54364555,0,0.498979017,0,0,0.541098274,0.510180537,0.504712763,0,0,0,0,0,0.542962133,0,0.548748877,0,0,0.669545001,0,0,0.258699137,0.697993324,0.558864089,0,0,0,0,0.59697841,0,0,0.305288013,0.607889052,0.638356718,0,0.582095262,0,0.465592279,0,0,0,0,0,0,0,0,0.479051241,0,0,0.613146402,0.523953213,0.574276826,0,0,0.560386271,0,0.738560554,0.577271841,0.12232581,0,0,0.59796325,0.638944815,0,0,0,0.477863991,0.560296787,0,0,0,0,0.575092531,0.570251845,0,0,0,0.51144041,0,0.659628038,0.617467309,0,0,0,0,0,0.499718316,0.491594401,0
Angola,0,0,0.5917084,0,0,0,0.711418548,0,0.647212577,0.677066328,0.489637654,0,0,0,0,0.586922291,0.729679506,0,0,0,0,0,0.590701679,0.741354891,0,0.602768067,0,0,0,0.552216064,0.65747775,0.70026674,0.514437794,0,0,0.648067043,0.761031905,0.655340433,0,0,0,0.522447191,0.694676881,0.564705904,0,0.595383956,0.676291847,0.6739678,0,0,0.485415802,0.501060723,0.671530713,0.504633416,0,0,0.666368841,0.626654642,0,0.659351202,0.733236162,0,0,0,0.72774478,0.632153663,0.642609344,0,0.52379029,0,0,0,0,0,0.531106048,0.690999409,0,0.728709029,0.705143649,0,0,0.668495003,0.673035778,0.722019877,0,0.716004829,0.560460906,0.544366019,0,0,0,0.724349912,0,0,0,0,0.629414744,0.686965961,0,0,0,0,0.627959468,0.638380289,0,0,0,0.709499463,0,0.446163185,0.651223705,0,0.615715339,0.557175871,0.683088469,0,0.5160469,0,0,0,0.683733466,0.670429025,0.727590409,0,0,0.729388621,0.672435038,0.576737877,0.499442349,0.687284464,0.714792654,0.648419758,0.671019449,0,0,0,0.678325151,0.639491023,0.584179653,0.663721285,0.760332724,0.656906622,0.673205513,0.678003358,0.434613822,0,0,0,0,0,0.525654073,0,0.662257215,0.63542401,0,0,0.723443777,0.620278233,0.595702593,0,0,0.741459763,0,0.724135746,0.635072239,0.486673705,0,0,0.693271727,0.691834688,0,0,0,0.621211072,0.711789611,0,0.614644726,0,0,0.641465668,0.714307795,0,0,0.569719166,0.662721221,0,0.731654128,0.745594786,0.657432684,0,0,0,0.701367746,0.548577947,0.671050254,0
Antigua & Barbuda,0,0,0,0,0,0,0.583985715,0,0.589766716,0.558371621,0,0.44260131,0,0,0.650255464,0,0.609205021,0.504823319,0,0,0,0,0.327858336,0.641683913,0,0.600348986,0,0,0,0,0.505440637,0.665491685,0,0,0,0.597302296,0.734335854,0.61386085,0,0,0,0.573873704,0.547112756,0.461633888,0.705262031,0.543108074,0.509900314,0.64558929,0,0.615313205,0.655771475,0.535322746,0.351809086,0.512805909,0,0,0.502614945,0.493023084,0,0.564027406,0.637145306,0,0,0.421466643,0.650254512,0.696358464,0.535936184,0.62318451,0.591077071,0,0,0.631165003,0,0,0.581648888,0.482270112,0.644931326,0.608022993,0.564511361,0,0,0.45563074,0.508333884,0.635014795,0.640247438,0.640235536,0,0,0,0,0.529074282,0.676718523,0,0,0,0,0.588602692,0,0,0,0,0,0.531808179,0,0,0.521236159,0,0.606681788,0,0,0.569921354,0,0.51809525,0.516074519,0.620754152,0,0,0,0.691671206,0,0,0,0.582601358,0,0,0.68100252,0.59076464,0.471884141,0,0.726566191,0.613043653,0,0.444765625,0,0.714359927,0.684127517,0.440761131,0.58036601,0.583415234,0.700402069,0.596622415,0.639874517,0.482089098,0,0,0.65975344,0.628175786,0.637787674,0,0,0,0.703221957,0.440580721,0,0,0,0.726143725,0.449691049,0.414262221,0,0,0.604529832,0,0.673872736,0.564001758,0,0.682096402,0,0.655233001,0.618262829,0,0,0,0,0.594842075,0,0.506946083,0,0.714211894,0.609571671,0.64643693,0,0,0,0.505826192,0.756247871,0.658675594,0.714133289,0.5736483,0,0,0.739957861,0,0,0.503366737,0
Argentina,0,0.536260896,0,0.489450187,0.732580393,0,0,0.382666173,0.717649549,0.714742259,0.492506378,0.638341513,0.714021355,0.716218583,0.324247112,0.646775079,0.730497764,0,0.655788471,0,0.751089467,0.575475949,0.469034417,0.782418742,0.240398543,0.641713753,0.676523568,0.593240852,0,0.650122133,0.551748577,0.718692058,0,0,0.68627497,0.740261294,0.770826047,0.717979203,0.607624879,0.702830472,0.695612551,0.653474709,0.614515803,0.623042555,0.705262031,0.555241959,0.691709289,0.70426273,0.651277933,0,0.672733738,0.699590974,0.639142318,0.535818566,0.7106374,0.643199416,0.606341769,0.454096001,0,0.705085376,0.745279546,0.699634865,0.625378541,0.544997516,0.758903157,0.429708487,0.643076815,0.62318451,0.635831533,0.664211834,0.618090304,0,0.656532457,0,0.586744779,0.682628166,0.572896839,0.727655533,0.71940702,0.746440183,0.739850078,0.699289518,0.703171936,0.743526197,0,0.74122209,0.573110548,0.553036205,0.698969146,0,0,0.738704588,0,0.742690803,0,0.686416318,0.615535971,0.559434829,0,0.639592862,0.728899444,0,0.678269543,0.64904899,0.62974167,0.542697213,0.66675008,0.718390926,0,0.478657849,0.594019392,0,0,0.469449568,0.749716971,0,0.460239219,0,0.691671206,0,0.697459444,0.656203706,0.586570402,0,0.67159258,0.738087676,0.665659989,0.516533777,0.529110883,0.708011914,0.694120125,0.583339616,0.683507019,0,0.714359927,0,0.73077873,0.71089586,0.685240063,0.701236723,0.691301999,0.663531461,0.673226443,0.719092192,0.12232581,0.65975344,0.628175786,0,0,0.769668442,0,0.703221957,0.552364239,0.579230667,0.768248506,0.636393386,0.707919948,0.67681271,0.67646835,0,0.661707245,0.712065094,0,0.742915732,0.638465519,0.539355651,0.682096402,0,0.715405631,0.728625781,0.758764163,0,0.669057748,0.615141982,0.73828394,0,0,0,0.714211894,0.58681305,0.719629575,0.721298755,0,0.282840042,0.655267257,0.756247871,0.729551663,0.774714019,0.727705987,0.710508352,0.643231289,0.739957861,0.708133528,0,0.459923281,0.419292117
Armenia,0,0.500314139,0,0,0,0,0.639836955,0,0.617495998,0.690762468,0,0,0.714021355,0,0,0.675664927,0.695695455,0,0,0,0,0.3299058,0.379006035,0.677607602,0,0.671497577,0,0.353554642,0,0,0,0.65843624,0,0,0,0.58006704,0.70094503,0.587184016,0,0,0,0.556203997,0,0.56251087,0,0.601138516,0.680145134,0.631677461,0,0,0.403184265,0.534657081,0.612589971,0.520347553,0,0,0.58645656,0,0.542822864,0.658886277,0.685724491,0.699634865,0,0.716214915,0.709778696,0,0.655467936,0,0,0,0,0,0,0,0.451284949,0.663818463,0,0.681798889,0.627737319,0.746440183,0.739850078,0.608000437,0.636448182,0.706709749,0,0.667632418,0.516726677,0.581650841,0.698969146,0,0,0.671391956,0,0.742690803,0.58933019,0,0.62305736,0.609467186,0,0,0,0,0.644438655,0.536074693,0.559648477,0.406217183,0,0.59401008,0,0,0.360159409,0,0,0,0.5960429,0,0.605743698,0,0.691671206,0,0.566324228,0,0.471828507,0,0,0.686717869,0.661333487,0,0,0.609178934,0.583977452,0.560529705,0.547707198,0,0.714359927,0,0,0,0.483654996,0.676334123,0.633081278,0.498689758,0.64467737,0.725671076,0,0,0,0,0,0.769668442,0,0.703221957,0.483449057,0.599480899,0,0.636393386,0.629709755,0.632052798,0.64198602,0,0,0.616535433,0,0.68210386,0.610536732,0,0,0,0.669939441,0.681102001,0.758764163,0,0.669057748,0.466586139,0.653066726,0,0,0.257903567,0.714211894,0.438234803,0.560027848,0.721298755,0,0,0.709443012,0.756247871,0.670852107,0.690690246,0.533398142,0.710508352,0,0,0.652051266,0.650018063,0.536719565,0.377929841
Australia,0,0.536893528,0.676806673,0,0.732580393,0.472549055,0.731256358,0.551092963,0,0.738368825,0.675738407,0.614666128,0.714021355,0.716218583,0.566018576,0.676522373,0.752705003,0.318797415,0.655788471,0.659900587,0.700940259,0.603126886,0.560931073,0.727717759,0.738633284,0.6726374,0.676523568,0.696185237,0,0.679129322,0.549927401,0.750568358,0,0.628774313,0.68627497,0.742778892,0.792295215,0.680874512,0.607624879,0.702830472,0.695612551,0.667582677,0.644978439,0.671347909,0.705262031,0.656415343,0.72815205,0.739387028,0.651277933,0,0.641776071,0.663523897,0.679983597,0.642923869,0.7106374,0.643199416,0.674118093,0.669263983,0.709632602,0.734622563,0.760342957,0.699634865,0.625378541,0.585548346,0.776862704,0.639045364,0.707120864,0.62318451,0.647180799,0.664211834,0,0.579918707,0.656532457,0,0.642071445,0.711049202,0.643006001,0.754528733,0.763927675,0.746440183,0.739850078,0.737957317,0.730799411,0.763507789,0.579120266,0.782736404,0.660303895,0.675524985,0.698969146,0.563350208,0,0.77313953,0,0.742690803,0.499253168,0.686416318,0.644150908,0.65615388,0.668472724,0.639592862,0.728899444,0,0.666100125,0.680114038,0.636555744,0.607108212,0.66675008,0.773396095,0.59407273,0.589692631,0.636731608,0.636968056,0.415382385,0.648439958,0.740506182,0.650498858,0.577042876,0,0.691671206,0.520213613,0.676121056,0.535206528,0.649245992,0.672056736,0.67159258,0.756286601,0.771105577,0.655075692,0.281930343,0.757442217,0.723757336,0.66662927,0.709255427,0.317457257,0.714359927,0.746942544,0.541211526,0.698513809,0.723155654,0.726512962,0.698900085,0.736009452,0.677353911,0.699835577,0.589980744,0.65975344,0.628175786,0,0.680047466,0,0,0.703221957,0.569791236,0.647008198,0.768248506,0.636393386,0.781687828,0.708030329,0.694418899,0.701735269,0.661707245,0.73738755,0.741149264,0.755746411,0.704173043,0.439400779,0.682096402,0.67677937,0.750382078,0.754702481,0.758764163,0,0.669057748,0.660266373,0.773905474,0.622491955,0.427254239,0.613166653,0.714211894,0.637150934,0.724636823,0.721298755,0.610161069,0.616856239,0.679581251,0.756247871,0.769172884,0.789798371,0.594853112,0.710508352,0.643231289,0.739957861,0.757555641,0.533368349,0.609957561,0.485466222
Austria,0,0.670260823,0.594447715,0.63529481,0.732580393,0.444007631,0.659440639,0.612970431,0.69204738,0,0.704902545,0.365271188,0.714021355,0.716218583,0.481058894,0.666768562,0.761711347,0,0.655788471,0.659900587,0.632832576,0.724971789,0.485414174,0.713789973,0.425068834,0.727151018,0.676523568,0.654212453,0,0.666678112,0.424445563,0.719647373,0,0.628774313,0.68627497,0.68350783,0.750569148,0.603736514,0.607624879,0.702830472,0.695612551,0.570707115,0.511399153,0.735643072,0.705262031,0.651242462,0.769609794,0.731807621,0.651277933,0,0.568777538,0.618731449,0.66147803,0.55591918,0.7106374,0.643199416,0.686624685,0.532736404,0.538171789,0.725401155,0.763319429,0.699634865,0.625378541,0.589728807,0.800948226,0.582337834,0.712889661,0.62318451,0.584165107,0.664211834,0.618090304,0,0.656532457,0.582828693,0.548857783,0.76677249,0.653025108,0.719631951,0.682217543,0.746440183,0.739850078,0.727159212,0.703190475,0.775783374,0.546710383,0.738364865,0.63280412,0.764079421,0.698969146,0,0.591144988,0.736255219,0,0.742690803,0.400928488,0.686416318,0.677863747,0.633688456,0.668472724,0.639592862,0.728899444,0,0.69483262,0.709597378,0.684805024,0.608849143,0.66675008,0.690662257,0,0.519208982,0.650348236,0.569840578,0,0.657504349,0.696349623,0.480840309,0.664268872,0,0.691671206,0.638118498,0.700059478,0.513719426,0.59132793,0,0.67159258,0.767668262,0.658569835,0.556828356,0,0.628216123,0.738939141,0.574315002,0.661860612,0,0.714359927,0.341435754,0.595860874,0.619823769,0.6982583,0.758387237,0.720242189,0.659080216,0.743723338,0.71911931,0.286294941,0.65975344,0.628175786,0,0,0.769668442,0,0.703221957,0.505349909,0.71768993,0.768248506,0.636393386,0.703522294,0.7649873,0.751926705,0,0.661707245,0.692732415,0,0.753074538,0.676080488,0.453488114,0.682096402,0.67677937,0.745214782,0.768332244,0.758764163,0,0.669057748,0.557503548,0.714092574,0.622491955,0.475646633,0,0.714211894,0.692764622,0.73917274,0.721298755,0,0.598748078,0.728255735,0.756247871,0.752683695,0.75825738,0.502407363,0.710508352,0,0.739957861,0.740186794,0.550880031,0.525972802,0.409346457
