0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,1,0,2941,757,9,0,72,50,0,47,267,0,0,0,0,0,0,6,0,38,0,0,0,0,0,4625,0,0,0,2,0,14,0,0,0,0,0,0,0,1,89,1344,0,0,0,9,8,0,0,0,1,0,0,368,365,0,0,2,11318,0,27,0,0,0,0,0,0,0,0,116,1,0,0,151583,27,25,286,446,0,0,1,146,0,0,0,2,0,29,3,0,6,0,0,0,9,0,3,0,0,0,0,38,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,3174,276,1,0,0,1216,0,0,0,1,0,0,0,108,18,2,138,1,1469,0,0,0,0,199,0,0,0,0,0,22,2,0,0,4,0,0,0,0,0,0,0,0,0,1751,368,151,0,326,0,2,0,0,0,0,0,1252,5,0,0,105,564,4752,6313,0,48,0,2,0,0,0,0
Albania,0,0,0,0,0,0,12,0,174,328,0,0,0,39,0,0,422,0,0,0,0,954,0,0,0,252,0,0,0,0,0,1564,0,0,0,3,0,3,0,0,0,0,0,301,2,38,84,42,0,0,3,13,0,0,0,0,0,0,0,34,555,0,0,0,6660,0,108036,0,0,0,0,0,0,0,0,39,5,0,0,0,0,76,2,78710,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,2,33,4555,0,0,0,0,0,14,0,0,0,1,0,0,0,0,4151,0,0,0,0,0,393,12,0,0,0,128,0,0,0,2,0,0,0,38,25,10,0,151,68,0,0,0,0,0,0,1574,0,0,0,28,35,0,0,33,0,296,0,0,0,0,0,0,0,170,924,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,2866,9584,0,0,0,2,11,0,0,0
Algeria,0,0,0,0,0,0,8,0,184,138,0,0,7,12,1,14,172,0,2,0,2,2,1,59,1,92,24,0,0,20,5,4563,1,7,48,14,3,10,0,3,40,6,0,8,0,16,162,123,4,0,23,8,0,0,2,0,0,2,0,98,83388,13,2,0,3348,2,242,0,0,8,0,1,4,0,4,149,6,0,0,0,30,186,6615,2606,4,6,1088,0,34,0,0,2,0,40,0,0,6,312,0,18,126,0,2,11,1,108,0,1,0,77,9,5,124,1,338,0,0,0,0,0,14,0,0,0,0,504,33,0,93,5,120,0,5,0,6,0,2,0,21,70,166,11,6,174,3,0,0,1,0,197,13,0,2,12,20,10,1,0,106,148,9592,0,0,0,0,2195,3,0,198,509,0,0,0,0,90,0,4,0,4,6,70,1,0,159,5,78,1787,2414,0,0,0,15,2,521,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,1,0,46,13,0,0,0,320,0,0,52,0,0,0,0,0,116,488,0,0,0,0,0,0,0,212,175,2,0,6,0,3,0,43,0,0,0,0,3,2,6,9,0,0,2,1,0,0,6,44,0,0,0,8,591,28,0,0,28,0,0,0,0,3,0,0,0,0,0,5,2,0,0,0,0,58,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,10,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,2860,0,0,234,21,0,0,6,10,0,0,0,1,0,0,0,190,1,9780,0,0,14,76,0,0,26,0,0,0,0,0,0,3,0,0,0,1402,0,232,0,0,0,0,0,0,8,25,219,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,1061,723,0,0,0,22,24,0,14744,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,4,14,61,0,106,0,0,0,3281,806,6,24,4,318,1,28,926,1,0,0,8589,42,25,5716,0,243,0,0,1,4,2,5458,30,14,1,16086,79,1272,0,8,2,219,0,150,4,86,773,455,0,0,1107,3349,27,10,209,0,8,0,0,228,5579,4,0,0,9168,8,749,0,50,29,2,2,327,0,23,551,72,0,5,52,4,939,10473,42026,3,542,22,266,0,0,3,14,0,0,0,0,41,247,0,62,10,0,43,242,5,13,0,0,0,0,16,14,38,10,3232,0,2,0,1,7,0,0,1,0,0,831,478,6,0,0,417,0,0,0,433,0,17512,120,288,768,1478,4,1320,488,2,0,0,0,2,2,392,0,1,6,320,260,0,0,2750,4,100278,0,0,1,0,4,12,0,1002,3106,21,0,0,14,126,2,0,0,2,4,404,4,0,24,118,17,2587,30236,3326,4,0,2645,32,4,0,0
Armenia,0,2,11,0,0,0,307,0,387,845,19905,0,0,2,0,2287,433,0,0,0,2,1,0,8,0,748,0,0,0,2,0,654,2,2,0,4,6,10,0,7,0,2,0,0,0,391,651,182,0,0,3,17,2,0,0,0,126,0,0,263,3141,2,0,30,11942,0,4040,0,0,8,0,0,0,0,0,124,5,0,0,5414,48,62,2647,564,0,24,24,7746,0,0,0,10,0,0,468,0,446,100,0,0,32,0,168,3,4,1,0,0,0,1,9,0,0,0,67,0,423,0,4,0,0,0,0,0,0,294,31,0,0,0,122,0,0,0,4,0,0,0,97,516,92,0,62,133381,0,0,0,0,0,0,20,0,1,0,77,9,0,0,30,0,1366,0,0,0,0,0,0,0,593,246,54,0,13,0,0,0,0,0,0,0,1962,991,0,9,21254,4,101,17074,0,3376,0,14,0,3,0,0
Australia,0,293,87,0,183,0,16,0,0,2288,19,11,0,308,6,46,1133,0,2,4,47,2216,159,180,69,362,2,0,0,581,0,3744,4,18,2,605,957,85,0,15,88,9,0,484,0,3366,1651,859,0,0,28,344,46,1,6,0,14,0,74,440,1751,18,0,0,15283,16,18045,0,4,42,1,0,6,0,0,1986,157,0,6878,424,13,2045,1524,26521,0,1251,174,526,4,0,55,790,0,0,0,3,81,2138,0,17,7,0,62,159,93,10,14,234,0,2,675,6,2,34,137,0,6,0,50,142,0,2,58,0,0,1646,11645,0,0,242,1192,0,0,0,52,0,12,35,687,801,1009,0,1132,904,80,42,0,0,0,4,3343,0,1,1186,1412,673,0,0,9955,290,8759,0,0,4,0,39,98,10,1420,2302,9,0,0,10,4527,130,2,0,0,2,3694,5,0,17,120,0,22616,8966,0,13,110,114,66,44,11,0
Austria,547,27,4,0,28,0,0,0,191,0,2,0,0,175,0,0,147,0,5,0,2,8627,2,3,0,22,20,0,13,70,0,86,0,2,8,3,0,2,0,0,96,4,0,179,0,14,1786,68,0,0,38,4,2,0,2,0,0,0,0,22,144,2,0,0,3206,0,20,0,0,62,0,0,8,0,0,1048,6,0,0,417,2,52,67,713,0,9,0,73,1,0,0,1,0,0,1,0,11,0,0,49,0,0,3,32,2,0,0,0,0,2,4,0,0,0,30,0,1,0,0,102,0,0,16,0,1,38,15,0,1,1,102,0,0,0,2,0,2,0,102,151,33,0,63,56,86,0,0,0,0,0,2444,0,8,2,1508,632,0,0,206,73,909,0,0,0,0,31,0,0,172,898,0,0,0,1,289,0,9,0,0,0,349,1,0,8,0,0,926,129,0,4,0,10,14,8,0,0
