0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,1254649.00,210600.00,10648347.00,16721090.00,119916355.00,0.00,0.00,0.00,0.00,156303100.00,33006830.00,0.00,0.00,0.00,0.00,1966844.00,0.00,8366059.00,741.00,5411940.00,0.00,0.00,0.00,670675.00,0.00,42203344.00,0.00,0.00,0.00,0.00,464033546.00,16674.00,0.00,0.00,0.00,0.00,303.00,12038061.00,0.00,301084.00,11019709.00,21518669.00,0.00,0.00,0.00,4054.00,3740141.00,0.00,0.00,0.00,103173641.00,0.00,0.00,2285695.00,57338579.00,0.00,0.00,13403156.00,380506339.00,650.00,4919801.00,0.00,0.00,0.00,0.00,34562.00,0.00,0.00,0.00,9378000.00,0.00,475621083.00,56217813.00,1570611869.81,0.00,10377679.00,623000.00,30399341.00,81850.00,99739721.00,1961216.00,320952100.00,0.00,0.00,0.00,143166543.00,0.00,0.00,25780005.00,0.00,174990801.00,962057.00,0.00,0.00,0.00,0.00,14721641.00,563827.00,614785.00,0.00,0.00,20304268.00,0.00,2342.00,4323182.00,0.00,0.00,0.00,400634.00,0.00,8215443.00,0.00,0.00,71464.00,0.00,0.00,0.00,0.00,0.00,107910917.00,421035.00,41609.00,0.00,9.00,3604366.00,347009.00,2099282307.00,0.00,0.00,0.00,158648.00,186701.00,2442541.00,33225884.00,498187.00,48594.00,10944484.00,938399566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127867976.36,39713.00,3454420.00,0.00,0.00,12811218.00,18171682.00,2639614.00,0.00,0.00,42344789.00,0.00,18568240.00,1341781.00,731.00,0.00,0.00,61592466.00,12235926.00,0.00,0.00,0.00,0.00,143487801.00,0.00,0.00,0.00,0.00,7578.00,290048181.00,0.00,0.00,0.00,20989070.00,0.00,164811122.00,1493017804.00,522073.00,0.00,0.00,0.00,0.00,50.00,1447.00,166774.00
Albania,0.00,0.00,6913700.00,0.00,0.00,0.00,1287881.00,0.00,1696546.00,68906322.00,0.00,0.00,0.00,0.00,0.00,1890500.00,20313287.00,0.00,0.00,0.00,0.00,32467424.00,0.00,39526485.00,9618.00,64263322.00,0.00,0.00,0.00,0.00,104411.00,44617073.00,0.00,0.00,0.00,293075.00,343904583.00,279163.00,0.00,125209650.53,0.00,227328.00,172917.00,74755872.00,0.00,1364523.00,28638236.00,3314605.00,0.00,0.00,26613.00,10134363.00,13903660.00,0.00,0.00,0.00,240258.00,81649.00,0.00,3624030.00,32110412.00,0.00,0.00,251029.00,209260297.00,0.00,537089610.00,0.00,564870.00,17865255.23,0.00,0.00,0.00,0.00,30019.00,61440000.00,0.00,16864459.00,7797408.00,1570611869.81,1043469892.47,6419677.00,3293000.00,1631199359.00,0.00,1568970.00,287339.00,7868000.00,101925750.74,0.00,0.00,16055244.00,0.00,0.00,404200.00,0.00,392520.00,157403.00,0.00,5784965.87,540882391.69,0.00,1265515.00,135658.00,75639267.00,0.00,0.00,2193920.00,0.00,0.00,1296755.00,0.00,0.00,83.00,702751.00,0.00,138862.00,0.00,0.00,9807036.00,2216620.00,33398.00,0.00,0.00,0.00,48871509.00,398009.00,0.00,0.00,0.00,905285.00,0.00,1995225.00,0.00,235242239.32,0.00,1994503.00,262904.00,165656.00,44492071.00,2778158.00,914467.00,57258621.00,87857998.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127867976.36,2238684.00,87263150.00,0.00,5024916.24,1118923.00,29195874.00,48389000.00,0.00,0.00,482907.00,0.00,63724800.00,4236012.00,0.00,0.00,32811386.20,11106780.00,33079626.00,3474727345.96,0.00,22522750.58,0.00,4793440.00,0.00,0.00,0.00,0.00,1303353.00,255981923.00,0.00,0.00,0.00,54232981.00,2945097692.77,33673307.00,54247282.00,710260.00,190025561.45,0.00,0.00,0.00,0.00,262.00,0.00
Algeria,0.00,118342.00,0.00,0.00,672547049.29,0.00,1502938226.00,0.00,4496411.00,273208246.00,2866880.00,0.00,230842773.85,261035319.77,0.00,1834200.00,1379939141.00,0.00,12037268.99,0.00,0.00,3271066.00,0.00,1169509524.00,80.00,74170568.00,32400307.22,1191.00,0.00,0.00,2868217.00,420079792.00,0.00,0.00,52772252.00,3440688.00,5416657169.00,2151320.00,0.00,125209650.53,85415407.14,61066.00,112965780.00,50361259.00,142726166.39,8086935.00,179732343.00,86001219.00,9781840.36,0.00,44065.00,45669047.00,391944682.00,244198.00,191380660.81,0.00,11684290.00,1403235.00,0.00,217738506.00,8178150979.00,105586181.37,3123006.54,166396.00,2400607897.00,0.00,507359449.00,0.00,21774806.00,17865255.23,2297272.69,0.00,12459597.07,0.00,0.00,160535000.00,0.00,1018106123.00,211038287.00,1570611869.81,1043469892.47,61924170.00,141000.00,4864907254.00,3460.00,621467722.00,131393692.00,531900.00,101925750.74,0.00,0.00,1130709281.00,0.00,1243005856.54,0.00,0.00,263049453.00,26549437.00,0.00,5784965.87,540882391.69,0.00,974295.00,30560871.00,277499.00,2137955.00,0.00,133539252.00,0.00,1851739.00,16541954.00,0.00,16661.00,749.00,157738061.00,0.00,1460750.00,0.00,0.00,0.00,228598913.00,0.00,808.00,0.00,25458849.33,983789600.00,343763611.00,0.00,2186046.00,1350406528.00,285393390.00,32458374.00,39382058.00,0.00,235242239.32,0.00,24408935.00,28077069.00,2615905.00,320309897.00,550092481.00,55276839.00,488194755.00,2781550273.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,127867976.36,238202.00,25999023.00,6584605421.38,5024916.24,35366753.00,141183567.00,277111083.00,0.00,0.00,386511688.00,0.00,4453164887.00,1554076.00,190629.00,0.00,0.00,439528232.00,423156936.00,3474727345.96,0.00,22522750.58,3523250.00,242232295.00,0.00,4528234.00,0.00,0.00,484952484.00,1813279021.00,0.00,0.00,121.00,291017926.00,2945097692.77,575425415.00,1362314960.00,39990765.00,0.00,0.00,0.00,129082276.00,152672.00,38817.00,0.00
Andorra,0.00,0.00,0.00,0.00,0.00,0.00,22487.00,0.00,0.00,4789044.00,0.00,0.00,0.00,0.00,0.00,0.00,8595356.00,0.00,0.00,0.00,0.00,0.00,2689.00,366024.00,0.00,39582.00,0.00,0.00,0.00,0.00,4181.00,149289.00,0.00,0.00,0.00,0.00,26845645.00,0.00,0.00,0.00,0.00,100774.00,0.00,0.00,0.00,0.00,3098653.00,879408.00,0.00,185.00,83030.00,0.00,0.00,288.00,0.00,0.00,0.00,10144.00,0.00,106302.00,275975406.00,0.00,0.00,0.00,39350724.00,0.00,291971.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4728.00,0.00,4673.00,92065.00,298363.00,0.00,0.00,456841.00,91000.00,18388356.00,0.00,547102.00,0.00,0.00,0.00,0.00,0.00,1383456.00,0.00,0.00,0.00,0.00,44127.00,7439.00,0.00,0.00,0.00,0.00,7505.00,2362962.00,0.00,0.00,0.00,134471.00,0.00,30362.00,0.00,0.00,123056.00,43534.00,36475.00,0.00,0.00,0.00,0.00,0.00,131302.00,0.00,160866.00,0.00,0.00,23057876.00,0.00,0.00,59.00,96801952.00,230875.00,0.00,0.00,0.00,0.00,974553.00,0.00,0.00,166.00,1509255.00,5477752.00,0.00,546784.00,0.00,10860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16307.00,0.00,0.00,1871500.00,68585.00,406934.00,0.00,0.00,243950.00,0.00,964399126.00,455395.00,4.00,0.00,0.00,1013303.00,5621689.00,0.00,0.00,0.00,15726.00,243160.00,0.00,0.00,0.00,0.00,419564.00,350263.00,0.00,0.00,0.00,45358.00,0.00,14393507.00,2238367.00,0.00,0.00,0.00,0.00,0.00,31085.00,24047.00,0.00
Angola,0.00,0.00,792296.00,0.00,0.00,0.00,199805613.00,0.00,8132043.00,33279140.00,22619.00,0.00,0.00,0.00,0.00,658000.00,566300347.00,0.00,0.00,0.00,0.00,0.00,761803.00,1144542058.00,0.00,1227313.00,0.00,0.00,0.00,181907.00,13019044.00,109189955.00,50032.00,0.00,0.00,8452471.00,4039171270.00,11790299.00,0.00,0.00,0.00,65218.00,81337936.00,285526.00,0.00,915118.00,32032649.00,28581121.00,0.00,0.00,19836.00,32445.00,25382537.00,36382.00,0.00,0.00,19797624.00,3297537.00,0.00,14208217.00,699384503.00,0.00,0.00,0.00,505459578.00,4177265.00,6614141.00,0.00,68212.00,0.00,0.00,0.00,0.00,0.00,87300.00,67209000.00,0.00,534863774.00,141815664.00,0.00,0.00,21921094.00,27310000.00,362790943.00,0.00,257921700.00,244611.00,137900.00,0.00,0.00,0.00,414873237.00,0.00,0.00,0.00,0.00,3711489.00,54659653.00,0.00,0.00,0.00,0.00,3486757.00,5483445.00,0.00,0.00,0.00,179776528.00,0.00,6147.00,9757630.00,0.00,2081156.00,217240.00,44922169.00,0.00,52750.00,0.00,0.00,0.00,46404670.00,24063555.00,500913924.00,0.00,0.00,556676655.00,26522635.00,446325.00,30813.00,55553659.00,240995321.00,8588629.00,24761125.00,0.00,0.00,0.00,35416418.00,5758977.00,592139.00,17454417.00,3855416283.00,12677920.00,27536938.00,34856538.00,4424.00,0.00,0.00,0.00,0.00,0.00,72611.00,0.00,16286855.00,4816163.00,0.00,0.00,393731891.00,2517550.00,926680.00,0.00,0.00,1151963388.00,0.00,409769872.00,4742706.00,20625.00,0.00,0.00,75598489.00,70171728.00,0.00,0.00,0.00,2618196.00,203944948.00,0.00,1990897.00,0.00,0.00,6285794.00,234559070.00,0.00,0.00,343416.00,16647635.00,0.00,636488718.00,1489466972.00,12991776.00,0.00,0.00,0.00,115785295.00,159898.00,24798105.00,0.00
Antigua & Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,587755.00,0.00,734599.00,226806.00,0.00,5550.00,0.00,0.00,9335911.00,0.00,1592320.00,36605.00,0.00,0.00,0.00,0.00,281.00,6347088.00,0.00,1114124.00,0.00,0.00,0.00,0.00,37340.00,18986287.00,0.00,0.00,0.00,987120.00,746976529.00,1927454.00,0.00,0.00,0.00,400842.00,151850.00,9655.00,142726166.39,131972.00,43139.00,7558326.00,0.00,2046754.00,12027801.00,100818.00,501.00,47427.00,0.00,0.00,34099.00,25150.00,0.00,278526.00,5193457.00,0.00,0.00,3067.00,9335506.00,88821463.00,102963.00,2845479.25,773025.00,0.00,0.00,4002346.00,0.00,0.00,537560.00,18000.00,7338176.00,1517495.00,283500.00,0.00,0.00,8091.00,41000.00,4730824.00,5955014.00,5951875.00,0.00,0.00,0.00,0.00,81487.00,32713104.00,0.00,0.00,0.00,0.00,702165.00,0.00,0.00,0.00,0.00,0.00,89410.00,0.00,0.00,62638.00,0.00,1437095.00,0.00,0.00,345998.00,0.00,56439.00,52798.00,2568374.00,0.00,0.00,0.00,69581114.57,0.00,0.00,0.00,557446.00,0.00,0.00,40462543.00,763673.00,13116.00,0.00,471833641.00,1863596.00,0.00,5905.00,0.00,235242239.32,47335899.00,5266.00,511959.00,575058.00,109978642.00,960936.00,5857494.00,17900.00,0.00,0.00,14478283.78,3519225.97,5342202.00,0.00,0.00,0.00,127867976.36,5239.00,0.00,0.00,0.00,460366237.00,6806.00,2518.00,0.00,0.00,1317408.00,0.00,28448635.00,278265.00,0.00,42739353.78,0.00,11731884.00,2313875.00,0.00,0.00,0.00,0.00,895806.00,0.00,39199.00,0.00,233307805.85,1616319.00,7852339.00,0.00,0.00,0.00,37807.00,2945097692.77,13766584.00,232287516.00,397478.00,0.00,0.00,1050383954.20,0.00,0.00,34931.00,0.00
Argentina,0.00,104118.00,0.00,22487.00,672547049.29,0.00,0.00,1090.00,282935975.00,240317687.00,24745.00,5474083.00,230842773.85,261035319.77,258.00,7973000.00,594332273.00,0.00,12037268.99,0.00,2109385914.00,425644.00,12038.00,17997706375.00,40.00,6355518.00,32400307.22,841229.00,0.00,9279373.00,178907.00,300117034.00,0.00,0.00,52772252.00,1070111401.00,7869366024.00,288252941.00,1493142.18,125209650.53,85415407.14,10818305.00,1980312.00,2828450.00,142726166.39,202665.00,69718226.00,135231175.00,9781840.36,0.00,26911069.00,105340599.00,5670925.00,102548.00,191380660.81,6790634.21,1417440.00,7736.00,0.00,141369741.00,1460359616.00,105586181.37,3123006.54,140982.00,3506790051.00,3855.00,6753556.00,2845479.25,4902777.00,17865255.23,2297272.69,0.00,12459597.07,0.00,653510.00,43895000.00,386478.00,502826268.00,312538817.00,1570611869.81,1043469892.47,103670175.00,127525000.00,1309124038.00,0.00,1135217175.00,389573.00,187300.00,101925750.74,0.00,0.00,972906242.00,0.00,1243005856.54,0.00,53152624.56,2065736.00,235688.00,0.00,5784965.87,540882391.69,0.00,35318988.00,8837352.00,3764062.00,130095.00,20161671.85,295043167.00,0.00,16112.00,867310.00,0.00,0.00,12189.00,1932398713.00,0.00,9265.00,0.00,69581114.57,0.00,94115169.00,12271070.00,649131.00,0.00,25458849.33,937020856.00,19139178.00,53603.00,81588.00,165722669.00,79010292.00,573397.00,45878353.00,0.00,235242239.32,0.00,604294712.00,194125664.00,50073902.00,114978698.00,68266632.00,17298143.00,27565059.00,307002951.00,4.00,14478283.78,3519225.97,0.00,0.00,7262176969.70,0.00,127867976.36,182869.00,490382.00,6584605421.38,5024916.24,164893029.00,32865372.00,32312290.00,0.00,15869964.91,207076952.00,0.00,1260451496.00,5504083.00,115843.00,42739353.78,0.00,249402098.00,532254865.00,3474727345.96,0.00,22522750.58,2032290.00,948282327.00,0.00,0.00,0.00,233307805.85,655233.00,316516125.00,348116650.34,0.00,100.00,11750477.00,2945097692.77,562049170.00,10336371593.00,504313168.00,190025561.45,6800309.12,1050383954.20,166826584.00,0.00,9179.00,2889.00
Armenia,0.00,31681.00,0.00,0.00,0.00,0.00,5847766.00,0.00,2241044.00,66392992.00,0.00,0.00,230842773.85,0.00,0.00,31060000.00,85787019.00,0.00,0.00,0.00,0.00,295.00,992.00,34180839.00,0.00,25341764.00,0.00,523.00,0.00,0.00,0.00,13613642.00,0.00,0.00,0.00,506181.00,113204371.00,664680.00,0.00,0.00,0.00,209781.00,0.00,263531.00,0.00,1149795.00,38768179.00,4092020.00,0.00,0.00,1868.00,98544.00,1829118.00,60814.00,0.00,0.00,646289.00,0.00,130666.00,13902717.00,51318245.00,105586181.37,0.00,260981561.00,182553023.00,0.00,11860029.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7128.00,17535000.00,0.00,42106934.00,3453744.00,1570611869.81,1043469892.47,1516104.00,5037000.00,154377485.00,0.00,21031788.00,53945.00,537600.00,101925750.74,0.00,0.00,25212264.00,0.00,1243005856.54,722253.00,0.00,2830221.00,1609441.00,0.00,0.00,0.00,0.00,7177798.00,103454.00,237517.00,2026.00,0.00,866993.00,0.00,0.00,616.00,0.00,0.00,0.00,939200.00,0.00,1383558.00,0.00,69581114.57,0.00,302988.00,0.00,13094.00,0.00,0.00,53973880.00,15593129.00,0.00,0.00,1590627.00,587569.00,245222.00,155062.00,0.00,235242239.32,0.00,0.00,0.00,18785.00,32099394.00,4348784.00,30084.00,7255036.00,447886819.00,0.00,0.00,0.00,0.00,0.00,7262176969.70,0.00,127867976.36,18666.00,1076257.00,0.00,5024916.24,3758895.00,4159053.00,6432985.00,0.00,0.00,2153233.00,0.00,42755338.00,1681343.00,0.00,0.00,0.00,23500965.00,40664174.00,3474727345.96,0.00,22522750.58,11187.00,10617327.00,0.00,0.00,58.00,233307805.85,4901.00,240802.00,348116650.34,0.00,0.00,179220689.00,2945097692.77,24561258.00,66146361.00,94391.00,190025561.45,0.00,0.00,10134129.00,9235496.00,105773.00,965.00
Australia,0.00,106408.00,32855590.00,0.00,672547049.29,13382.00,621639833.00,174788.00,0.00,953197474.00,31172360.00,1992660.00,230842773.85,261035319.77,299605.00,32398400.00,2340047450.00,227.00,12037268.99,14578438.10,113175593.00,1245117.00,248819.00,504660764.00,968684908.00,26785133.00,32400307.22,88017791.00,0.00,36857782.00,167712.00,2040239068.00,0.00,3610749.72,52772252.00,1249807360.00,37734919542.00,40204655.00,1493142.18,125209650.53,85415407.14,20981690.00,7353711.00,25158466.00,142726166.39,12392086.00,517663852.00,1014311629.00,9781840.36,0.00,6373161.00,17291947.00,38457479.00,6707602.00,191380660.81,6790634.21,28791914.00,22747620.00,181094729.00,759942179.00,3858040512.00,105586181.37,3123006.54,624084.00,12041966894.00,5646698.00,157867451.00,2845479.25,8120378.00,17865255.23,0.00,503340.00,12459597.07,0.00,6457497.00,195774000.00,6732238.00,2633033585.00,4905413057.00,1570611869.81,1043469892.47,929619537.00,605035000.00,4768437027.00,488336.00,18421688355.00,14856740.00,30847200.00,101925750.74,271721.00,0.00,9250484384.00,0.00,1243005856.54,30628.00,53152624.56,7085855.00,12242762.00,21897628.89,5784965.87,540882391.69,0.00,19545227.00,38708161.00,5060810.00,1462155.00,20161671.85,9418819264.00,869128.00,732488.00,5099997.00,5153193.00,2596.00,8596497.00,1086319663.00,9440066.00,451482.00,0.00,69581114.57,60544.00,31764505.00,100417.00,8916788.00,26039218.00,25458849.33,2952565401.00,8023927406.00,11646903.00,98.00,3184903591.00,400915085.00,20045546.00,177386743.00,220.00,235242239.32,1621045419.00,123541.00,99499919.00,387251904.00,470372215.00,101553819.00,826126972.00,33755029.00,106717005.00,740734.00,14478283.78,3519225.97,0.00,38580006.00,0.00,0.00,127867976.36,344334.00,8057330.00,6584605421.38,5024916.24,17061044137.00,165889329.00,80250452.00,118080070.00,15869964.91,897991845.00,1130137800.42,2850200885.00,134579261.00,5066.00,42739353.78,32811386.20,2016109137.00,2662914033.00,3474727345.96,0.00,22522750.58,14830611.00,9762751816.00,2763416.46,3600.00,1873062.00,233307805.85,5194741.00,421816176.00,348116650.34,1655707.00,2182146.00,37695053.00,2945097692.77,7017649342.00,31191608995.00,896195.00,190025561.45,6800309.12,1050383954.20,3208732853.00,94295.00,1641993.00,19867.00
Austria,0.00,23868674.00,882024.00,4789044.00,672547049.29,5778.00,14267800.00,1857985.00,70948108.00,0.00,139980315.00,700.00,230842773.85,261035319.77,17342.00,20179500.00,4226678185.00,0.00,12037268.99,14578438.10,4302076.00,430078547.00,19835.00,227886511.00,3388.00,488211717.00,32400307.22,11192065.00,0.00,20092408.00,3330.00,316836512.00,0.00,3610749.72,52772252.00,45880227.00,2040341980.00,1275998.00,1493142.18,125209650.53,85415407.14,356230.00,45297.00,808067647.00,142726166.39,9765997.00,7232771406.00,642319051.00,9781840.36,0.00,331658.00,2359618.00,15699576.00,207647.00,191380660.81,6790634.21,53718667.00,92283.00,111200.00,440921782.00,4708316147.00,105586181.37,3123006.54,733518.00,74347117055.00,551867.00,216760877.00,2845479.25,591809.00,17865255.23,2297272.69,0.00,12459597.07,562307.00,161486.00,5950974000.00,10597050.00,316558882.00,42999748.00,1570611869.81,1043469892.47,488445431.00,127652000.00,11150628639.00,149716.00,952967593.00,4296766.00,4955939300.00,101925750.74,0.00,775074.00,838481198.00,0.00,1243005856.54,1759.00,53152624.56,34616566.00,4465095.00,21897628.89,5784965.87,540882391.69,0.00,82002006.00,180744982.00,48983737.00,1569388.00,20161671.85,66051045.00,0.00,58559.00,9375466.00,344964.00,0.00,13035167.00,88780258.00,17226.00,17913687.00,0.00,69581114.57,5420567.00,107993681.00,48867.00,780622.00,0.00,25458849.33,6327356565.00,13698782.00,214541.00,0.00,3525316.00,986930871.00,407516.00,15985068.00,0.00,235242239.32,389.00,932481.00,2470014.00,98165622.00,3389337255.00,327744598.00,14029296.00,1325265730.00,307475661.00,108.00,14478283.78,3519225.97,0.00,0.00,7262176969.70,0.00,127867976.36,37231.00,283581647.00,6584605421.38,5024916.24,129948016.00,5270018913.00,2225747205.00,0.00,15869964.91,73511327.00,0.00,2396486329.00,31701164.00,7600.00,42739353.78,32811386.20,1454454887.00,6622638602.00,3474727345.96,0.00,22522750.58,219818.00,231760892.00,2763416.46,14699.00,0.00,233307805.85,73634235.00,1001112121.00,348116650.34,0.00,1045355.00,520820652.00,2945097692.77,2336836498.00,3360437833.00,33873.00,190025561.45,0.00,1050383954.20,1065231610.00,173472.00,73393.00,2204.00
