NAME,AGE,GENDER,NATIONALITY,SUPREMACY,POPULACE
PopeFrancis,77,1,0,1,1
CardinalParolin,59,1,1,1,0
ArchbishopMamberti,62,1,2,0,0
Msgr.Camilleri,49,1,3,2,0
ArchbishopBecciu,66,1,1,0,0
ArchbishopSuriani,57,1,1,0,0
Msgr.Bettencourt,52,1,4,2,0
CardinalMuller,66,1,5,1,0
ArchbishopFerrer,70,1,6,0,1
ArchbishopDiNoia,71,1,7,0,2
Msgr.Caotorta,70,1,1,2,0
Fr.Geisinger,56,1,7,4,1
CardinalSandri,70,1,0,1,0
ArchbishopVasil,49,1,8,0,1
CardinalLlovera,68,1,6,1,0
ArchbishopRoche,64,1,9,0,0
Msgr.Grenesche,53,1,6,2,0
CardinalAmato,76,1,1,1,3
ArchbishopBartolucci,70,1,1,0,0
Fr.Turek,49,1,10,4,0
Msgr.Pellegrino,43,1,1,2,0
Fr.Kijas,54,1,10,4,4
Msgr.Iovine,55,1,1,2,0
Msgr.Pallath,55,1,11,2,0
Fr.Tagliaferri,55,1,1,4,0
CardinalOuellet,70,1,4,1,6
ArchbishopMontanari,55,1,12,0,0
Msgr.Breitbach,54,1,5,2,0
CardinalFiloni,68,1,1,1,0
ArchbishopTai-Fai,63,1,13,0,3
ArchbishopRugambwa,54,1,14,0,0
Fr.Wojda,57,1,10,4,7
CardinalStella,72,1,1,1,0
ArchbishopIruzubieta,66,1,6,0,0
ArchbishopWong,56,1,15,0,0
Msgr.Neri,52,1,1,2,0
CardinalBrazdeAviz,67,1,12,1,0
ArchbishopCarballo,61,1,6,0,8
Sr.Spezzati,66,0,1,5,9
CardinalGrocholewski,74,1,10,1,0
ArchbishopZani,64,1,1,0,0
Fr.Bechina,48,1,16,4,10
CardinalPiacenza,69,1,1,1,0
Msgr.Nykiel,49,1,10,2,0
Fr.Dacok,59,1,8,4,1
BishopChinchetru,63,1,6,3,0
Fr.Faggioni,58,1,1,4,8
Fr.Carlotti,59,1,1,4,3
CardinalBurke,65,1,7,1,0
ArchbishopDaneels,73,1,17,0,11
BishopSciacca,59,1,1,3,0
Msgr.Punderson,66,1,7,2,0
Msgr.Malecha,50,1,10,2,0
Msgr.Pinto,73,1,1,2,0
Msgr.DeFilippi,74,1,1,2,0
Msgr.Sable,66,1,7,2,0
Msgr.Monier,61,1,18,2,0
Msgr.Caberletti,66,1,1,2,0
Msgr.Battone,71,1,1,2,0
Msgr.Erlebach,59,1,10,2,0
Msgr.Pena,58,1,12,2,0
Msgr.McKay,65,1,9,2,0
Msgr.Yaacoub,67,1,19,2,0
Msgr.Cedillo,52,1,6,2,0
Msgr.Arokiaraj,56,1,11,2,0
Msgr.Vaccarotto,74,1,1,2,0
Fr.Jaeger,59,1,22,4,0
Msgr.Esteban,53,1,6,2,0
Msgr.Todisco,57,1,1,2,0
Msgr.Salvatori,43,1,1,2,0
Msgr.Amenta,51,1,1,2,0
Msgr.Bunge,62,1,0,2,0
Fr.Gomes,61,1,23,4,12
Msgr.Perego,55,1,1,2,0
Msgr.Milite,43,1,1,2,0
Msgr.Fiorentino,41,1,1,2,0
Msgr.Viscome,47,1,1,2,0
CardinalRylko,68,1,10,1,0
BishopClemens,67,1,5,3,0
Msgr.Galindo,51,1,6,2,0
CardinalKoch,64,1,20,1,0
BishopFarrell,70,1,21,3,13
Msgr.Palmieri,44,1,1,2,0
ArchbishopPaglia,69,1,1,0,0
BishopLaffitte,62,1,18,3,14
Msgr.Vazquez,49,1,6,2,0
CardinalTurkson,65,1,25,1,0
BishopToso,64,1,1,3,3
Dr.Giovanelli,66,1,1,6,5
CardinalSarah,68,1,26,1,0
Msgr.Toso,49,1,1,2,0
Msgr.Munoz,54,1,6,2,0
CardinalVeglio,76,1,1,1,0
BishopKalathiparambil,61,1,11,3,0
