0,Belgium,Canada,China,Egypt,France,Germany,Holy See ,India,Italy,Japan,Netherlands,Russia,South Africa,Spain,Switzerland,United Kingdom,United States
Belgium,0,2,1,2,3,2,1,1,1,1,3,2,1,2,0,3,2
Canada,1,0,3,1,3,3,1,3,1,1,2,2,1,1,0,4,4
China,1,3,0,2,2,2,0,2,1,3,2,3,2,1,0,3,4
Egypt,1,1,1,0,3,2,1,3,3,1,2,2,2,2,1,3,2
France,3,3,3,3,0,2,1,2,4,2,3,2,1,3,0,4,4
Germany,3,3,3,2,3,0,1,3,2,2,4,2,2,2,0,3,4
Holy See ,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1
India,1,3,2,3,2,2,0,0,1,2,2,2,3,1,1,3,3
Italy,2,2,3,3,4,2,2,1,0,1,2,2,1,3,0,3,4
Japan,1,2,3,2,2,2,1,2,1,0,2,3,1,1,0,2,4
Netherlands,3,2,2,2,3,4,1,1,2,1,0,2,1,2,0,4,3
Russia,2,1,2,2,2,2,1,1,2,3,2,0,1,2,0,2,3
South Africa,2,1,2,2,2,2,0,2,1,1,2,1,0,2,2,4,2
Spain,2,2,2,2,3,2,1,1,3,1,2,2,2,0,0,3,4
Switzerland,2,2,1,2,3,3,0,1,2,1,2,2,2,2,0,2,3
United Kingdom,3,4,3,3,4,3,1,3,3,2,4,3,4,3,0,0,4
United States,2,4,4,3,4,4,1,2,4,4,2,4,2,4,1,4,0
