Country,Nationality,,
Afghanistan,Afghan,,
Albania,Albanian,,
Algeria,Algerian,,
Andorra,Andorran,,
Angola,Angolan,,
Argentina,Argentinian,,
Armenia,Armenian,,
Australia,Australian,,
Austria,Austrian,,
Azerbaijan,Azerbaijani,,
Bahamas,Bahamian,,
Bahrain,Bahraini,,
Bangladesh,Bangladeshi,,
Barbados,Barbadian,,
Belarus,Belarusian,Belarusan,
Belgium,Belgian,,
Belize,Belizean,,
Benin,Beninese,,
Bhutan,Bhutanese,,
Bolivia,Bolivian,,
BosniaHerzegovina,Bosnian,,
Botswana,Botswanan,,
Brazil,Brazilian,,
Britain,British,,
Brunei,Bruneian,,
Bulgaria,Bulgarian,,
Burkina,Burkinese,,
Burma,Burmese,Myanmar,
Burundi,Burundian,,
Cambodia,Cambodian,,
Cameroon,Cameroonian,,
Canada,Canadian,,
Cape Verde Islands,Cape Verdean,,
Chad,Chadian,,
Chile,Chilean,,
China,Chinese,,
Colombia,Colombian,,
Congo,Congolese,,
Costa Rica,Costa Rican,,
Croatia,Croat,Croatian,
Cuba,Cuban,,
Cyprus,Cypriot,,
Czech Republic,Czech,,
Denmark,Danish,,
Djibouti,Djiboutian,,
Dominica,Dominican,,
Dominican Republic,Dominican,,
Ecuador,Ecuadorean,,
Egypt,Egyptian,,
El Salvador,Salvadorean,,
England,English,,
Eritrea,Eritrean,,
Estonia,Estonian,,
Ethiopia,Ethiopian,,
Fiji,Fijian,,
Finland,Finnish,,
France,French,,
Gabon,Gabonese,,
Gambia,Gambian,,
Georgia,Georgian,,
Germany,German,,
Ghana,Ghanaian,,
Greece,Greek,,
Grenada,Grenadian,,
Guatemala,Guatemalan,,
Guinea,Guinean,,
Guyana,Guyanese,,
Haiti,Haitian,,
Holland,Dutch,Netherlands,
Honduras,Honduran,,
Hungary,Hungarian,,
Iceland,Icelandic,,
India,Indian,,
Indonesia,Indonesian,,
Iran,Iranian,,
Iraq,Iraqi,,
Ireland,Irish,,
Italy,Italian,,
Jamaica,Jamaican,,
Japan,Japanese,,
Jordan,Jordanian,,
Kazakhstan,Kazakh,,
Kenya,Kenyan,,
Kuwait,Kuwaiti,,
Laos,Laotian,,
Latvia,Latvian,,
Lebanon,Lebanese,,
Liberia,Liberian,,
Libya,Libyan,,
Liechtenstein,,,
Lithuania,Lithuanian,,
Luxembourg,,,
Macedonia,Macedonian,,
Madagascar,Malagasy,Madagascan,
Malawi,Malawian,,
Malaysia,Malaysian,,
Maldives,Maldivian,,
Mali,Malian,,
Malta,Maltese,,
Mauritania,Mauritanian,,
Mauritius,Mauritian,,
Mexico,Mexican,,
Moldova,Moldovan,,
Monaco,Monégasque,Monacan,
Mongolia,Mongolian,,
Montenegro,Montenegrin,,
Morocco,Moroccan,,
Mozambique,Mozambican,,
Myanmar see Burma,,,
Namibia,Namibian,,
Nepal,Nepalese,,
Netherlands the (seeHolland),Dutch,,
New Zealand,New Zealand,,
Nicaragua,Nicaraguan,,
Niger,Nigerien,,
Nigeria,Nigerian,,
North Korea,North Korean,,
Norway,Norwegian,,
Oman,Omani,,
Pakistan,Pakistani,,
Panama,Panamanian,,
Papua New Guinea,Papua New Guinean,Guinean,
Paraguay,Paraguayan,,
Peru,Peruvian,,
the Philippines,Philippine,,
Poland,Polish,,
Portugal,Portuguese,,
Qatar,Qatari,,
Romania,Romanian,,
Russia,Russian,,
Rwanda,Rwandan,,
Saudi Arabia,Saudi Arabian,Saudi,
Scotland,Scottish,,
Senegal,Senegalese,,
Serbia,Serb,Serbian,
Seychelles the,Seychellois,,
Sierra Leone,Sierra Leonian,,
Singapore,Singaporean,,
Slovakia,Slovak,,
Slovenia,Slovene,Slovenian,
Solomon Islands,,,
Somalia,Somali,,
South Africa,South African,,
South Korea,South Korean,,
Spain,Spanish,,
Sri Lanka,Sri Lankan,,
Sudan,Sudanese,,
Suriname,Surinamese,,
Swaziland,Swazi,,
Sweden,Swedish,,
Switzerland,Swiss,,
Syria,Syrian,,
Taiwan,Taiwanese,,
Tajikistan,Tajik,Tadjik,
Tanzania,Tanzanian,,
Thailand,Thai,,
Togo,Togolese,,
Trinidad and Tobago,Trinidadian,Tobagan,Tobagonian
Tunisia,Tunisian,,
Turkey,Turkish,,
Turkmenistan,Turkmen,Turkoman,
Tuvalu,Tuvaluan,,
Uganda,Ugandan,,
Ukraine,Ukrainian,,
United Arab Emirates ,UAE,Emirates,Emirati
United Kingdom,UK,British,
United States of America,US,American,
Uruguay,Uruguayan,,
Uzbekistan,Uzbek,,
Vanuatu,Vanuatuan,,
Vatican City,,,
Venezuela,Venezuelan,,
Vietnam,Vietnamese,,
Wales,Welsh,,
Western Samoa,Western Samoan,,
Yemen,Yemeni,,
Yugoslavia,Yugoslav,,
Zaire,Zairean,,
Zambia,Zambian,,
Zimbabwe,Zimbabwean,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
