,Salem Alhazmi,Majed Moqed,Hani Hanjour,Khalid Al-Mihdhar,Nawaf Alhazmi,Ahmed Alnami,Saeed Alghamdi,Ahmed Alghamdi,Hamza Alghamdi,Ahmed Al Haznawi,Mohand Alshehri,Fayez Ahmed,Ziad Jarrah,Marwan Al-Shehhi,Mohamed Atta,Abdul Aziz Al-Omari,Waleed Alshehri,Satam Suqami,Wail Alshehri
Salem Alhazmi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majed Moqed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hani Hanjour,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalid Al-Mihdhar,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawaf Alhazmi,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Ahmed Alnami,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Saeed Alghamdi,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Ahmed Alghamdi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hamza Alghamdi,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Ahmed Al Haznawi,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Mohand Alshehri,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Fayez Ahmed,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ziad Jarrah,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Marwan Al-Shehhi,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Mohamed Atta,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Abdul Aziz Al-Omari,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Waleed Alshehri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Satam Suqami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Wail Alshehri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
