0,Pope Francis ,Cardinal Parolin ,Archbishop Mamberti,Msgr. Camilleri,Archbishop Becciu,Archbishop Suriani,Msgr. Bettencourt,Cardinal Muller,Archbishop Ferrer,Archbishop Di Noia,Msgr. Caotorta ,Fr. Geisinger,Cardinal Sandri,Archbishop Vasil,Cardinal Llovera ,Archbishop Roche,Msgr. Grenesche,Cardinal Amato,Archbishop Bartolucci,Fr. Turek,Msgr. Pellegrino,Fr. Kijas,Msgr. Iovine,Msgr. Pallath,Fr. Tagliaferri,Cardinal Ouellet,Archbishop Montanari,Msgr. Breitbach,Cardinal Filoni,Archbishop Tai-Fai,Archbishop Rugambwa,Fr. Wojda,Cardinal Stella ,Archbishop Iruzubieta,Archbishop Wong,Msgr. Neri,Cardinal Braz de Aviz,Archbishop Carballo,Sr. Spezzati,Cardinal Grocholewski,Archbishop Zani,Fr. Bechina,Cardinal Piacenza,Msgr. Nykiel,Fr. Dacok,Bishop Chinchetru,Fr. Faggioni,Fr. Carlotti,Cardinal Burke,Archbishop Daneels,Bishop Sciacca,Msgr. Punderson,Msgr. Malecha,Msgr. Pinto,Msgr. DeFilippi,Msgr. Sable,Msgr. Monier,Msgr. Caberletti,Msgr. Battone ,Msgr. Erlebach,Msgr. Pena,Msgr. McKay,Msgr. Yaacoub,Msgr. Cedillo,Msgr. Arokiaraj,Msgr. Vaccarotto,Fr. Jaeger,Msgr. Esteban,Msgr. Todisco,Msgr. Salvatori,Msgr. Amenta,Msgr. Bunge,Fr. Gomes ,Msgr. Perego,Msgr. Milite,Msgr. Fiorentino,Msgr. Viscome ,Cardinal Rylko,Bishop Clemens,Msgr.Galindo,Cardinal Koch,Bishop Farrell,Msgr. Palmieri,Archbishop Paglia,Bishop Laffitte,Msgr. Vazquez,Cardinal Turkson,Bishop Toso,Dr. Giovanelli,Cardinal Sarah,Msgr. Toso ,Msgr. Munoz,Cardinal Veglio,Bishop Kalathiparambil,Fr. Bentoglio,Archbishop Zimowski,Msgr. Mpendawatu,Fr. Chendi,Cardinal Coccopalmerio,Msgr. Graulich,Cardinal Tauran,Fr. Guixot,Msgr. Kankanamalage,Cardinal Ravasi,Bishop Azevedo,Bishop Adoukonou,Msgr. Alameda,Archbishop Celli,Msgr. Tighe,Archbishop Fisichella,Archbishop Arenas,Msgr. Bell,Cardinal Bertone ,Archbishop Celata,Msgr. Scotti,Msgr. Braida,Msgr. Konig,Msgr. Almeida,Msgr. Whitmore ,Msgr. Bonora,Msgr. Lazzaro,Cardinal Calcagno,Msgr. Misto,Msgr. Rivella,Cardinal Versaldi,Msgr. Balda,Cardinal Pell,Msgr. Xuereb,Archbishop Ganswein,Msgr. Sapienza,Fr. Giertych,Msgr. Rossetti,Msgr. Bruno,Msgr. Erriquenz,Msgr.Civili,Msgr. Chestle,Msgr. Felice,Fr. Cantalamessa,Msgr. Marini,Msgr. Sanchirico ,Msgr. Stefanetti,Msgr. Agostini,Msgr. Masi,Msgr. Cihak,Msgr. Peroni,Fr. Lombardi,Fr. Benedettini,Dr. Scelzo,Msgr. Formenti,Prof. Lecour,Msgr. Carru,Prof. Bisconti,Archbishop Pozzo,Cardinal Farina,Msgr. Wells,Prof. Glendon,Dr. Zahra,Dr. Cueto,Dr. Messemer,Mr. Yeo,Mr. Franssu,Ms. Chaouqui,Cardinal O'Malley,Msgr. Oliver,Fr. Yanez,Fr. Zollner,Prof. Hollins,Prof. Suchocka,Fr. Bonino,Archbishop Marini,Fr. Ardura,Msgr. Palma,Colonel Anrig,Bishop Olmsted,Cardinal Gracias,Bishop Serratelli,Msgr. Moroney,Bishop Corbellini,Msgr. Wells ,Mr. Brulhart,Dr. Giani ,Prof. Picardi,Cardinal Castello,Cardinal Collins,Cardinal Schonborn ,Cardinal Bozanic,Archbishop Mollaghan,Mr. Barnes ,Msgr. Polvani,Msgr. Ruiz,Fr. Ghisani,Ms. Frank,Archbishop Brugues,Bishop Pagano,Msgr. Pasini,Fr. Pellini,Prof. Vian,Mr. Cicco,Msgr. Scotti ,Fr. Costa,Fr. Koprowski,Msgr. Vigano,Archbishop Krajewski,Archbishop Corbellini,Dr. Bufacchi,Cardinal Comastri,Bishop Lanzani,Dr. Villaescusa,Archbishop Gioia,Dr. Giovanni,Dr. Ruzza,Msgr. Palombella,Dr. Cinquegrani,Dr. Napoleoni,Fr. Imoda
Pope Francis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardinal Parolin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archbishop Mamberti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msgr. Camilleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archbishop Becciu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archbishop Suriani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msgr. Bettencourt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardinal Muller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archbishop Ferrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archbishop Di Noia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
